--- PERFORMANCE ANALYSIS ---
       Name      Final PnL   Max Drawdown  Sharpe Ratio  Entries
0  MATH1052    3715.905762    1772.383789      4.007507    50000
1  MATH1061    -985.097656    4230.679688     -0.875861    50000
2       pot -196527.789551  196891.159180    -54.245176    50000

--- MARKET DATA ANALYSIS ---
                          Product  Volatility  Avg Spread
0       GALAXY_SOUNDS_BLACK_HOLES    0.099746   14.512767
1       GALAXY_SOUNDS_DARK_MATTER    0.100162   13.050833
2   GALAXY_SOUNDS_PLANETARY_RINGS    0.100877   13.690033
3      GALAXY_SOUNDS_SOLAR_FLAMES    0.099963   14.071533
4       GALAXY_SOUNDS_SOLAR_WINDS    0.100869   13.301267
5                MICROCHIP_CIRCLE    0.099929    8.262167
6                  MICROCHIP_OVAL    0.149889    7.449767
7             MICROCHIP_RECTANGLE    0.149909    7.885767
8                MICROCHIP_SQUARE    0.150778   11.718800
9              MICROCHIP_TRIANGLE    0.149149    8.635433
10         OXYGEN_SHAKE_CHOCOLATE    0.111384   12.185467
11    OXYGEN_SHAKE_EVENING_BREATH    0.116615   11.860467
12            OXYGEN_SHAKE_GARLIC    0.100546   15.054600
13              OXYGEN_SHAKE_MINT    0.100381   12.593567
14    OXYGEN_SHAKE_MORNING_BREATH    0.100710   12.782900
15                      PANEL_1X2    0.101230   11.509767
16                      PANEL_1X4    0.100433    8.376633
17                      PANEL_2X2    0.100037    8.515467
18                      PANEL_2X4    0.099982    9.840500
19                      PANEL_4X4    0.100762    8.750467
20                      PEBBLES_L    0.148530   13.020500
21                      PEBBLES_M    0.148298   13.120900
22                      PEBBLES_S    0.169954   11.551533
23                     PEBBLES_XL    0.234654   16.630767
24                     PEBBLES_XS    0.211345    9.744867
25                   ROBOT_DISHES    0.153500    7.350267
26                  ROBOT_IRONING    0.117334    6.392933
27                  ROBOT_LAUNDRY    0.099825    7.165067
28                  ROBOT_MOPPING    0.100205    7.970667
29                ROBOT_VACUUMING    0.100560    6.753300
30               SLEEP_POD_COTTON    0.100881   10.050200
31            SLEEP_POD_LAMB_WOOL    0.100013    9.400100
32                SLEEP_POD_NYLON    0.099704    8.564667
33            SLEEP_POD_POLYESTER    0.100137   10.295700
34                SLEEP_POD_SUEDE    0.099945    9.949467
35            SNACKPACK_CHOCOLATE    0.066849   16.471167
36            SNACKPACK_PISTACHIO    0.055177   15.925633
37            SNACKPACK_RASPBERRY    0.080317   16.842467
38           SNACKPACK_STRAWBERRY    0.076079   17.826467
39              SNACKPACK_VANILLA    0.064523   16.868667
40         TRANSLATOR_ASTRO_BLACK    0.100442    8.366400
41    TRANSLATOR_ECLIPSE_CHARCOAL    0.100376    8.700433
42       TRANSLATOR_GRAPHITE_MIST    0.100316    8.912100
43          TRANSLATOR_SPACE_GRAY    0.099820    8.402167
44           TRANSLATOR_VOID_BLUE    0.099603    9.524667
45                 UV_VISOR_AMBER    0.100606   10.320500
46               UV_VISOR_MAGENTA    0.100690   14.091600
47                UV_VISOR_ORANGE    0.100230   13.284100
48                   UV_VISOR_RED    0.099564   14.039433
49                UV_VISOR_YELLOW    0.100237   13.909967
