date,open,high,low,close,volume
2024-04-16,550.75,557.0,542.5,549.75,53008
2024-04-17,550.5,555.0,536.0,537.0,38898
2024-04-18,538.0,544.0,534.25,536.75,35421
2024-04-19,536.75,558.75,536.0,550.25,29394
2024-04-22,549.0,579.5,548.75,570.25,50920
2024-04-23,572.0,586.0,565.75,585.0,42554
2024-04-24,583.25,598.5,578.75,594.5,27546
2024-04-25,594.0,605.0,593.5,602.25,25972
2024-04-26,602.0,614.5,598.25,603.25,28595
2024-04-29,595.75,604.75,582.75,590.25,17080
2024-04-30,587.0,587.0,577.75,585.0,1411
2024-05-01,580.25,582.25,579.0,581.5,505
2024-05-02,592.75,592.75,580.75,586.5,67
2024-05-03,606.0,606.0,606.0,606.0,226
2024-05-06,627.5,632.25,627.5,632.25,148
2024-05-07,635.0,635.0,624.75,624.75,52
2024-05-08,616.0,616.0,616.0,616.0,20
2024-05-09,624.25,624.25,619.75,619.75,125
2024-05-10,645.25,647.0,645.25,645.75,57
2024-05-13,648.0,670.25,645.75,670.25,33
2024-05-14,657.0,657.0,657.0,657.0,86543
2024-05-15,674.25,697.0,662.25,665.75,89540
2024-05-16,664.25,681.5,656.75,663.25,68479
2024-05-17,662.5,676.5,650.25,651.25,62410
2024-05-20,654.0,691.25,654.0,688.75,93314
2024-05-21,687.5,700.75,682.0,697.5,88258
2024-05-22,697.25,716.75,688.5,693.0,89819
2024-05-23,694.0,702.5,682.5,698.0,68180
2024-05-24,701.25,706.0,689.0,697.25,70621
2024-05-28,713.0,720.0,693.75,700.25,73681
2024-05-29,701.5,706.25,688.5,692.75,63288
2024-05-30,692.75,693.75,673.25,681.0,68977
2024-05-31,680.5,691.5,673.75,678.5,54291
2024-06-03,678.0,697.75,667.5,672.75,84111
2024-06-04,672.5,681.25,657.75,658.25,82162
2024-06-05,659.25,664.25,642.75,646.75,84832
2024-06-06,649.75,654.0,638.25,639.5,83045
2024-06-07,639.5,639.5,618.25,627.5,131164
2024-06-10,626.0,627.0,606.25,607.5,119712
2024-06-11,606.75,633.0,605.5,626.5,132289
2024-06-12,626.0,627.75,610.5,617.0,84288
2024-06-13,614.5,627.25,612.5,620.0,77149
2024-06-14,618.25,622.5,611.0,612.75,73733
