day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
bear_volatile_s2;0;INTARIAN_PEPPER_ROOT;12998;10;12995;16;;;13000;14;13004;22;;;12999.0;0.0
bear_volatile_s2;0;ASH_COATED_OSMIUM;9986;8;9984;13;;;10014;23;10017;23;;;10000.0;0.0
bear_volatile_s2;100;INTARIAN_PEPPER_ROOT;12997;13;12993;17;;;13001;5;13005;14;;;12999.0;0.0
bear_volatile_s2;100;ASH_COATED_OSMIUM;9993;20;9991;22;;;10001;8;10004;23;;;9997.0;0.0
bear_volatile_s2;200;INTARIAN_PEPPER_ROOT;12967;13;12963;19;;;13023;15;13026;27;;;12995.0;0.0
bear_volatile_s2;200;ASH_COATED_OSMIUM;9983;14;9981;16;;;10009;13;10012;23;;;9996.0;0.0
bear_volatile_s2;300;INTARIAN_PEPPER_ROOT;12996;5;12993;18;;;12998;16;13000;15;;;12997.0;0.0
bear_volatile_s2;300;ASH_COATED_OSMIUM;9987;5;9985;14;;;10003;7;10005;19;;;9995.0;0.0
bear_volatile_s2;400;INTARIAN_PEPPER_ROOT;12991;14;12988;18;;;12997;13;12999;18;;;12994.0;0.0
bear_volatile_s2;400;ASH_COATED_OSMIUM;9987;17;9983;18;;;10001;17;10005;19;;;9994.0;0.0
bear_volatile_s2;500;INTARIAN_PEPPER_ROOT;12977;12;12975;21;;;13009;13;13013;29;;;12993.0;0.0
bear_volatile_s2;500;ASH_COATED_OSMIUM;9976;14;9974;19;;;10000;24;10004;24;;;9988.0;0.0
bear_volatile_s2;600;INTARIAN_PEPPER_ROOT;12992;9;12990;22;;;12994;23;12997;22;;;12993.0;0.0
bear_volatile_s2;600;ASH_COATED_OSMIUM;9977;5;9973;21;;;10003;14;10005;23;;;9990.0;0.0
bear_volatile_s2;700;INTARIAN_PEPPER_ROOT;12985;6;12983;13;;;12997;6;13001;21;;;12991.0;0.0
bear_volatile_s2;700;ASH_COATED_OSMIUM;9966;17;9962;15;;;10010;17;10013;18;;;9988.0;0.0
bear_volatile_s2;800;INTARIAN_PEPPER_ROOT;12962;13;12960;20;;;13016;14;13019;23;;;12989.0;0.0
bear_volatile_s2;800;ASH_COATED_OSMIUM;9987;17;9985;17;;;9991;7;9994;14;;;9989.0;0.0
bear_volatile_s2;900;INTARIAN_PEPPER_ROOT;12979;16;12975;26;;;12997;15;13000;21;;;12988.0;0.0
bear_volatile_s2;900;ASH_COATED_OSMIUM;9973;17;9970;16;;;9997;21;10000;17;;;9985.0;0.0
bear_volatile_s2;1000;INTARIAN_PEPPER_ROOT;12980;16;12976;18;;;12994;20;12997;27;;;12987.0;0.0
bear_volatile_s2;1000;ASH_COATED_OSMIUM;9968;20;9965;15;;;9994;14;9996;13;;;9981.0;0.0
bear_volatile_s2;1100;INTARIAN_PEPPER_ROOT;12988;9;12985;18;;;12994;18;12997;26;;;12991.0;0.0
bear_volatile_s2;1100;ASH_COATED_OSMIUM;9962;22;9959;21;;;10002;15;10005;11;;;9982.0;0.0
bear_volatile_s2;1200;INTARIAN_PEPPER_ROOT;12987;12;12984;28;;;12997;13;12999;20;;;12992.0;0.0
bear_volatile_s2;1200;ASH_COATED_OSMIUM;9978;21;9976;23;;;9986;17;9988;17;;;9982.0;0.0
bear_volatile_s2;1300;INTARIAN_PEPPER_ROOT;12988;9;12984;23;;;12990;10;12993;20;;;12989.0;0.0
bear_volatile_s2;1300;ASH_COATED_OSMIUM;9982;22;9979;25;;;9984;13;9988;22;;;9983.0;0.0
bear_volatile_s2;1400;INTARIAN_PEPPER_ROOT;12983;14;12979;17;;;12995;12;12999;28;;;12989.0;0.0
bear_volatile_s2;1400;ASH_COATED_OSMIUM;9983;9;9981;8;;;9987;13;9989;13;;;9985.0;0.0
bear_volatile_s2;1500;INTARIAN_PEPPER_ROOT;12987;17;12983;25;;;12989;17;12992;18;;;12988.0;0.0
