day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
crash_normal_s0;0;INTARIAN_PEPPER_ROOT;10999;15;10996;17;;;11007;20;11011;22;;;11003.0;0.0
crash_normal_s0;0;ASH_COATED_OSMIUM;9998;17;9994;19;;;10000;11;10004;15;;;9999.0;0.0
crash_normal_s0;100;INTARIAN_PEPPER_ROOT;10993;20;10989;15;;;11015;20;11017;18;;;11004.0;0.0
crash_normal_s0;100;ASH_COATED_OSMIUM;9998;8;9996;23;;;10000;16;10003;17;;;9999.0;0.0
crash_normal_s0;200;INTARIAN_PEPPER_ROOT;11000;8;10997;13;;;11014;23;11018;31;;;11007.0;0.0
crash_normal_s0;200;ASH_COATED_OSMIUM;9993;15;9989;23;;;10001;5;10005;17;;;9997.0;0.0
crash_normal_s0;300;INTARIAN_PEPPER_ROOT;11010;17;11008;27;;;11012;14;11015;19;;;11011.0;0.0
crash_normal_s0;300;ASH_COATED_OSMIUM;9984;16;9982;22;;;10020;11;10024;28;;;10002.0;0.0
crash_normal_s0;400;INTARIAN_PEPPER_ROOT;11014;22;11010;25;;;11018;14;11021;22;;;11016.0;0.0
crash_normal_s0;400;ASH_COATED_OSMIUM;9988;19;9984;27;;;10016;7;10019;26;;;10002.0;0.0
crash_normal_s0;500;INTARIAN_PEPPER_ROOT;11014;18;11010;22;;;11016;21;11018;18;;;11015.0;0.0
crash_normal_s0;500;ASH_COATED_OSMIUM;9995;18;9992;20;;;10009;18;10011;24;;;10002.0;0.0
crash_normal_s0;600;INTARIAN_PEPPER_ROOT;11002;21;10998;21;;;11032;27;11035;13;;;11017.0;0.0
crash_normal_s0;600;ASH_COATED_OSMIUM;9989;9;9985;14;;;10007;8;10009;20;;;9998.0;0.0
crash_normal_s0;700;INTARIAN_PEPPER_ROOT;11014;8;11012;13;;;11020;22;11024;19;;;11017.0;0.0
crash_normal_s0;700;ASH_COATED_OSMIUM;9998;19;9994;23;;;10006;13;10009;18;;;10002.0;0.0
crash_normal_s0;800;INTARIAN_PEPPER_ROOT;11012;21;11009;26;;;11024;14;11027;12;;;11018.0;0.0
crash_normal_s0;800;ASH_COATED_OSMIUM;10001;9;9997;28;;;10009;11;10011;16;;;10005.0;0.0
crash_normal_s0;900;INTARIAN_PEPPER_ROOT;11018;17;11014;19;;;11020;5;11023;14;;;11019.0;0.0
crash_normal_s0;900;ASH_COATED_OSMIUM;10003;12;9999;16;;;10005;14;10009;20;;;10004.0;0.0
crash_normal_s0;1000;INTARIAN_PEPPER_ROOT;11016;17;11014;21;;;11024;19;11027;23;;;11020.0;0.0
crash_normal_s0;1000;ASH_COATED_OSMIUM;9995;11;9993;23;;;10009;5;10011;12;;;10002.0;0.0
crash_normal_s0;1100;INTARIAN_PEPPER_ROOT;11022;23;11018;18;;;11024;12;11027;15;;;11023.0;0.0
crash_normal_s0;1100;ASH_COATED_OSMIUM;9995;10;9991;19;;;10007;11;10010;20;;;10001.0;0.0
crash_normal_s0;1200;INTARIAN_PEPPER_ROOT;11024;11;11022;22;;;11026;9;11030;23;;;11025.0;0.0
crash_normal_s0;1200;ASH_COATED_OSMIUM;9987;17;9985;19;;;10005;18;10009;15;;;9996.0;0.0
crash_normal_s0;1300;INTARIAN_PEPPER_ROOT;11001;5;10998;18;;;11049;19;11053;15;;;11025.0;0.0
