day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
high_vol_volatile_s1;0;INTARIAN_PEPPER_ROOT;11800;10;11798;15;;;11808;6;11812;24;;;11804.0;0.0
high_vol_volatile_s1;0;ASH_COATED_OSMIUM;9998;7;9994;21;;;10002;12;10004;16;;;10000.0;0.0
high_vol_volatile_s1;100;INTARIAN_PEPPER_ROOT;11806;19;11804;20;;;11828;14;11832;26;;;11817.0;0.0
high_vol_volatile_s1;100;ASH_COATED_OSMIUM;9980;19;9976;28;;;10016;11;10018;27;;;9998.0;0.0
high_vol_volatile_s1;200;INTARIAN_PEPPER_ROOT;11822;14;11819;22;;;11836;19;11840;21;;;11829.0;0.0
high_vol_volatile_s1;200;ASH_COATED_OSMIUM;9988;6;9985;33;;;10012;13;10016;10;;;10000.0;0.0
high_vol_volatile_s1;300;INTARIAN_PEPPER_ROOT;11837;12;11833;21;;;11841;24;11844;21;;;11839.0;0.0
high_vol_volatile_s1;300;ASH_COATED_OSMIUM;9995;26;9991;15;;;10003;18;10005;20;;;9999.0;0.0
high_vol_volatile_s1;400;INTARIAN_PEPPER_ROOT;11854;13;11851;16;;;11856;15;11858;20;;;11855.0;0.0
high_vol_volatile_s1;400;ASH_COATED_OSMIUM;9990;5;9988;14;;;10002;22;10005;29;;;9996.0;0.0
high_vol_volatile_s1;500;INTARIAN_PEPPER_ROOT;11855;18;11851;20;;;11865;13;11868;20;;;11860.0;0.0
high_vol_volatile_s1;500;ASH_COATED_OSMIUM;9984;13;9981;21;;;10008;8;10011;29;;;9996.0;0.0
high_vol_volatile_s1;600;INTARIAN_PEPPER_ROOT;11870;19;11867;11;;;11884;14;11887;16;;;11877.0;0.0
high_vol_volatile_s1;600;ASH_COATED_OSMIUM;9995;10;9991;21;;;9997;18;9999;25;;;9996.0;0.0
high_vol_volatile_s1;700;INTARIAN_PEPPER_ROOT;11870;19;11868;19;;;11898;18;11900;18;;;11884.0;0.0
high_vol_volatile_s1;700;ASH_COATED_OSMIUM;9972;17;9968;23;;;10024;5;10026;11;;;9998.0;0.0
high_vol_volatile_s1;800;INTARIAN_PEPPER_ROOT;11894;5;11892;21;;;11896;12;11900;22;;;11895.0;0.0
high_vol_volatile_s1;800;ASH_COATED_OSMIUM;9996;8;9992;15;;;9998;14;10000;21;;;9997.0;0.0
high_vol_volatile_s1;900;INTARIAN_PEPPER_ROOT;11903;12;11900;10;;;11905;18;11907;22;;;11904.0;0.0
high_vol_volatile_s1;900;ASH_COATED_OSMIUM;9987;7;9983;20;;;10005;13;10008;21;;;9996.0;0.0
high_vol_volatile_s1;1000;INTARIAN_PEPPER_ROOT;11915;9;11911;12;;;11919;10;11922;13;;;11917.0;0.0
high_vol_volatile_s1;1000;ASH_COATED_OSMIUM;9992;15;9990;19;;;10004;15;10008;27;;;9998.0;0.0
high_vol_volatile_s1;1100;INTARIAN_PEPPER_ROOT;11907;12;11904;23;;;11931;5;11934;19;;;11919.0;0.0
high_vol_volatile_s1;1100;ASH_COATED_OSMIUM;9994;19;9990;14;;;9998;19;10000;11;;;9996.0;0.0
high_vol_volatile_s1;1200;INTARIAN_PEPPER_ROOT;11924;24;11920;23;;;11926;16;11929;26;;;11925.0;0.0
high_vol_volatile_s1;1200;ASH_COATED_OSMIUM;9992;16;9989;18;;;10000;12;10003;13;;;9996.0;0.0
high_vol_volatile_s1;1300;INTARIAN_PEPPER_ROOT;11930;17;11927;20;;;11932;23;11934;20;;;11931.0;0.0
high_vol_volatile_s1;1300;ASH_COATED_OSMIUM;9987;9;9983;13;;;10001;18;10005;18;;;9994.0;0.0
high_vol_volatile_s1;1400;INTARIAN_PEPPER_ROOT;11940;12;11936;26;;;11942;9;11946;15;;;11941.0;0.0
high_vol_volatile_s1;1400;ASH_COATED_OSMIUM;9991;7;9988;12;;;9993;8;9997;25;;;9992.0;0.0
high_vol_volatile_s1;1500;INTARIAN_PEPPER_ROOT;11942;18;11939;20;;;11944;15;11946;15;;;11943.0;0.0
high_vol_volatile_s1;1500;ASH_COATED_OSMIUM;9994;12;9990;15;;;9996;17;9998;18;;;9995.0;0.0
high_vol_volatile_s1;1600;INTARIAN_PEPPER_ROOT;11946;10;11944;13;;;11952;14;11956;23;;;11949.0;0.0
high_vol_volatile_s1;1600;ASH_COATED_OSMIUM;9968;5;9966;14;;;10020;11;10023;19;;;9994.0;0.0
high_vol_volatile_s1;1700;INTARIAN_PEPPER_ROOT;11945;13;11941;25;;;11957;27;11960;31;;;11951.0;0.0
high_vol_volatile_s1;1700;ASH_COATED_OSMIUM;9984;15;9980;17;;;10004;17;10007;14;;;9994.0;0.0
high_vol_volatile_s1;1800;INTARIAN_PEPPER_ROOT;11954;17;11952;22;;;11956;11;11959;18;;;11955.0;0.0
high_vol_volatile_s1;1800;ASH_COATED_OSMIUM;9989;14;9987;32;;;9999;14;10002;18;;;9994.0;0.0
high_vol_volatile_s1;1900;INTARIAN_PEPPER_ROOT;11936;12;11932;22;;;11984;12;11986;18;;;11960.0;0.0
high_vol_volatile_s1;1900;ASH_COATED_OSMIUM;9989;8;9985;24;;;9997;10;10001;23;;;9993.0;0.0
high_vol_volatile_s1;2000;INTARIAN_PEPPER_ROOT;11960;17;11957;19;;;11962;16;11964;28;;;11961.0;0.0
high_vol_volatile_s1;2000;ASH_COATED_OSMIUM;9992;12;9988;16;;;9998;9;10002;17;;;9995.0;0.0
high_vol_volatile_s1;2100;INTARIAN_PEPPER_ROOT;11957;10;11953;27;;;11977;12;11981;16;;;11967.0;0.0
high_vol_volatile_s1;2100;ASH_COATED_OSMIUM;9969;18;9966;19;;;10025;14;10027;20;;;9997.0;0.0
high_vol_volatile_s1;2200;INTARIAN_PEPPER_ROOT;11967;10;11965;24;;;11977;15;11979;19;;;11972.0;0.0
high_vol_volatile_s1;2200;ASH_COATED_OSMIUM;9993;13;9990;22;;;10005;19;10008;17;;;9999.0;0.0
high_vol_volatile_s1;2300;INTARIAN_PEPPER_ROOT;11972;8;11968;18;;;11978;9;11980;13;;;11975.0;0.0
high_vol_volatile_s1;2300;ASH_COATED_OSMIUM;9999;11;9995;28;;;10001;7;10003;13;;;10000.0;0.0
high_vol_volatile_s1;2400;INTARIAN_PEPPER_ROOT;11956;9;11953;20;;;12004;25;12007;19;;;11980.0;0.0
high_vol_volatile_s1;2400;ASH_COATED_OSMIUM;9985;5;9981;21;;;10021;12;10023;18;;;10003.0;0.0
high_vol_volatile_s1;2500;INTARIAN_PEPPER_ROOT;11978;20;11976;20;;;11980;14;11983;15;;;11979.0;0.0
high_vol_volatile_s1;2500;ASH_COATED_OSMIUM;10004;18;10001;14;;;10010;7;10013;15;;;10007.0;0.0
high_vol_volatile_s1;2600;INTARIAN_PEPPER_ROOT;11975;11;11971;20;;;11983;13;11986;17;;;11979.0;0.0
high_vol_volatile_s1;2600;ASH_COATED_OSMIUM;9998;16;9994;29;;;10006;11;10009;21;;;10002.0;0.0
high_vol_volatile_s1;2700;INTARIAN_PEPPER_ROOT;11958;12;11955;17;;;11996;17;12000;15;;;11977.0;0.0
high_vol_volatile_s1;2700;ASH_COATED_OSMIUM;9962;14;9960;19;;;10048;12;10050;13;;;10005.0;0.0
high_vol_volatile_s1;2800;INTARIAN_PEPPER_ROOT;11974;12;11971;23;;;11980;23;11982;18;;;11977.0;0.0
high_vol_volatile_s1;2800;ASH_COATED_OSMIUM;10008;11;10006;9;;;10010;5;10014;23;;;10009.0;0.0
high_vol_volatile_s1;2900;INTARIAN_PEPPER_ROOT;11957;14;11953;8;;;11999;14;12002;20;;;11978.0;0.0
high_vol_volatile_s1;2900;ASH_COATED_OSMIUM;9994;5;9992;19;;;10026;12;10029;20;;;10010.0;0.0
high_vol_volatile_s1;3000;INTARIAN_PEPPER_ROOT;11975;20;11972;22;;;11977;8;11980;14;;;11976.0;0.0
high_vol_volatile_s1;3000;ASH_COATED_OSMIUM;10010;26;10008;22;;;10014;15;10017;23;;;10012.0;0.0
high_vol_volatile_s1;3100;INTARIAN_PEPPER_ROOT;11971;15;11969;22;;;11977;6;11979;19;;;11974.0;0.0
high_vol_volatile_s1;3100;ASH_COATED_OSMIUM;9982;20;9980;27;;;10040;16;10042;22;;;10011.0;0.0
high_vol_volatile_s1;3200;INTARIAN_PEPPER_ROOT;11961;5;11959;19;;;11981;16;11983;13;;;11971.0;0.0
high_vol_volatile_s1;3200;ASH_COATED_OSMIUM;10013;5;10010;15;;;10015;21;10017;15;;;10014.0;0.0
high_vol_volatile_s1;3300;INTARIAN_PEPPER_ROOT;11964;15;11960;19;;;11972;15;11976;21;;;11968.0;0.0
high_vol_volatile_s1;3300;ASH_COATED_OSMIUM;10010;15;10006;21;;;10012;19;10014;26;;;10011.0;0.0
high_vol_volatile_s1;3400;INTARIAN_PEPPER_ROOT;11954;11;11952;24;;;11976;15;11978;19;;;11965.0;0.0
high_vol_volatile_s1;3400;ASH_COATED_OSMIUM;10008;15;10006;14;;;10010;12;10012;12;;;10009.0;0.0
high_vol_volatile_s1;3500;INTARIAN_PEPPER_ROOT;11960;13;11958;18;;;11966;21;11969;20;;;11963.0;0.0
high_vol_volatile_s1;3500;ASH_COATED_OSMIUM;10009;8;10006;15;;;10011;16;10015;24;;;10010.0;0.0
high_vol_volatile_s1;3600;INTARIAN_PEPPER_ROOT;11958;20;11955;16;;;11960;12;11963;20;;;11959.0;0.0
high_vol_volatile_s1;3600;ASH_COATED_OSMIUM;10000;10;9998;15;;;10022;6;10026;14;;;10011.0;0.0
high_vol_volatile_s1;3700;INTARIAN_PEPPER_ROOT;11939;12;11937;18;;;11977;8;11980;28;;;11958.0;0.0
high_vol_volatile_s1;3700;ASH_COATED_OSMIUM;10006;18;10003;19;;;10014;10;10017;21;;;10010.0;0.0
high_vol_volatile_s1;3800;INTARIAN_PEPPER_ROOT;11949;17;11946;23;;;11973;9;11975;23;;;11961.0;0.0
high_vol_volatile_s1;3800;ASH_COATED_OSMIUM;10003;22;9999;24;;;10005;14;10007;28;;;10004.0;0.0
high_vol_volatile_s1;3900;INTARIAN_PEPPER_ROOT;11944;14;11940;22;;;11982;15;11986;11;;;11963.0;0.0
high_vol_volatile_s1;3900;ASH_COATED_OSMIUM;9999;7;9997;19;;;10001;6;10003;18;;;10000.0;0.0
high_vol_volatile_s1;4000;INTARIAN_PEPPER_ROOT;11951;13;11949;18;;;11969;20;11971;20;;;11960.0;0.0
high_vol_volatile_s1;4000;ASH_COATED_OSMIUM;9992;16;9989;20;;;10004;9;10006;13;;;9998.0;0.0
high_vol_volatile_s1;4100;INTARIAN_PEPPER_ROOT;11953;9;11949;25;;;11959;9;11961;28;;;11956.0;0.0
high_vol_volatile_s1;4100;ASH_COATED_OSMIUM;9994;7;9991;29;;;9996;10;9999;15;;;9995.0;0.0
high_vol_volatile_s1;4200;INTARIAN_PEPPER_ROOT;11952;15;11949;18;;;11954;6;11958;16;;;11953.0;0.0
high_vol_volatile_s1;4200;ASH_COATED_OSMIUM;9992;10;9988;13;;;10004;17;10007;17;;;9998.0;0.0
high_vol_volatile_s1;4300;INTARIAN_PEPPER_ROOT;11955;8;11953;9;;;11959;13;11961;23;;;11957.0;0.0
high_vol_volatile_s1;4300;ASH_COATED_OSMIUM;9990;26;9986;22;;;9998;18;10001;18;;;9994.0;0.0
high_vol_volatile_s1;4400;INTARIAN_PEPPER_ROOT;11943;20;11941;21;;;11967;10;11971;15;;;11955.0;0.0
high_vol_volatile_s1;4400;ASH_COATED_OSMIUM;9994;10;9990;24;;;9996;11;10000;27;;;9995.0;0.0
high_vol_volatile_s1;4500;INTARIAN_PEPPER_ROOT;11948;16;11944;16;;;11956;13;11959;23;;;11952.0;0.0
high_vol_volatile_s1;4500;ASH_COATED_OSMIUM;9991;13;9987;13;;;9993;5;9996;20;;;9992.0;0.0
high_vol_volatile_s1;4600;INTARIAN_PEPPER_ROOT;11945;22;11943;24;;;11959;24;11963;18;;;11952.0;0.0
high_vol_volatile_s1;4600;ASH_COATED_OSMIUM;9976;5;9973;28;;;10006;13;10008;12;;;9991.0;0.0
high_vol_volatile_s1;4700;INTARIAN_PEPPER_ROOT;11955;7;11952;18;;;11959;11;11962;22;;;11957.0;0.0
