day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
v_recovery_normal_s1;0;INTARIAN_PEPPER_ROOT;12499;10;12497;15;;;12507;6;12511;24;;;12503.0;0.0
v_recovery_normal_s1;0;ASH_COATED_OSMIUM;9998;7;9994;21;;;10002;12;10004;16;;;10000.0;0.0
v_recovery_normal_s1;100;INTARIAN_PEPPER_ROOT;12490;19;12488;20;;;12512;14;12516;26;;;12501.0;0.0
v_recovery_normal_s1;100;ASH_COATED_OSMIUM;9980;19;9976;28;;;10016;11;10018;27;;;9998.0;0.0
v_recovery_normal_s1;200;INTARIAN_PEPPER_ROOT;12492;14;12489;22;;;12506;19;12510;21;;;12499.0;0.0
v_recovery_normal_s1;200;ASH_COATED_OSMIUM;9988;6;9985;33;;;10012;13;10016;10;;;10000.0;0.0
v_recovery_normal_s1;300;INTARIAN_PEPPER_ROOT;12494;12;12490;21;;;12498;24;12501;21;;;12496.0;0.0
v_recovery_normal_s1;300;ASH_COATED_OSMIUM;9995;26;9991;15;;;10003;18;10005;20;;;9999.0;0.0
v_recovery_normal_s1;400;INTARIAN_PEPPER_ROOT;12497;13;12494;16;;;12499;15;12501;20;;;12498.0;0.0
v_recovery_normal_s1;400;ASH_COATED_OSMIUM;9990;5;9988;14;;;10002;22;10005;29;;;9996.0;0.0
v_recovery_normal_s1;500;INTARIAN_PEPPER_ROOT;12488;18;12484;20;;;12498;13;12501;20;;;12493.0;0.0
v_recovery_normal_s1;500;ASH_COATED_OSMIUM;9984;13;9981;21;;;10008;8;10011;29;;;9996.0;0.0
v_recovery_normal_s1;600;INTARIAN_PEPPER_ROOT;12489;19;12486;11;;;12503;14;12506;16;;;12496.0;0.0
v_recovery_normal_s1;600;ASH_COATED_OSMIUM;9995;10;9991;21;;;9997;18;9999;25;;;9996.0;0.0
v_recovery_normal_s1;700;INTARIAN_PEPPER_ROOT;12479;19;12477;19;;;12507;18;12509;18;;;12493.0;0.0
v_recovery_normal_s1;700;ASH_COATED_OSMIUM;9972;17;9968;23;;;10024;5;10026;11;;;9998.0;0.0
v_recovery_normal_s1;800;INTARIAN_PEPPER_ROOT;12492;5;12490;21;;;12494;12;12498;22;;;12493.0;0.0
v_recovery_normal_s1;800;ASH_COATED_OSMIUM;9996;8;9992;15;;;9998;14;10000;21;;;9997.0;0.0
v_recovery_normal_s1;900;INTARIAN_PEPPER_ROOT;12491;12;12488;10;;;12493;18;12495;22;;;12492.0;0.0
v_recovery_normal_s1;900;ASH_COATED_OSMIUM;9987;7;9983;20;;;10005;13;10008;21;;;9996.0;0.0
v_recovery_normal_s1;1000;INTARIAN_PEPPER_ROOT;12493;9;12489;12;;;12497;10;12500;13;;;12495.0;0.0
v_recovery_normal_s1;1000;ASH_COATED_OSMIUM;9992;15;9990;19;;;10004;15;10008;27;;;9998.0;0.0
v_recovery_normal_s1;1100;INTARIAN_PEPPER_ROOT;12478;12;12475;23;;;12502;5;12505;19;;;12490.0;0.0
v_recovery_normal_s1;1100;ASH_COATED_OSMIUM;9995;19;9991;14;;;9999;19;10001;11;;;9997.0;0.0
v_recovery_normal_s1;1200;INTARIAN_PEPPER_ROOT;12487;24;12483;23;;;12489;16;12492;26;;;12488.0;0.0
v_recovery_normal_s1;1200;ASH_COATED_OSMIUM;9992;16;9989;18;;;10000;12;10003;13;;;9996.0;0.0
