name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_day_-2,imc,16008.5,2499.0,13509.5,839522.0,0.0015689836947917653,0.0016200245246803767,0.019068589030424455,458
imc_day_-1,imc,-5722.0,3249.0,-8971.0,883766.5,-0.00046000554869697396,-0.0004839069281598004,-0.006474560870999297,521
imc_day_0,imc,-2722.0,3146.0,-5868.0,1239516.0,-0.00022344009046328117,-0.00023679237582175278,-0.0021960184459095325,546
av_COFFEE_d0,real,-560717.0,0.0,-560717.0,560717.0,-57.20216996332766,-52.76162257921132,-1.0,199
av_COFFEE_d3,real,-712990.5,-4505.5,-708485.0,712990.5,-85.24057561887017,-90.15316918249479,-1.0,234
av_COFFEE_d8,real,-1011329.0,-9345.0,-1001984.0,1011329.0,-86.33872115966027,-89.56110222388133,-1.0,289
av_CORN_d11,real,-810863.0,-753.0,-810110.0,810863.0,-94.98730996828566,-105.50740219198279,-1.0,191
av_CORN_d6,real,-943154.0,0.0,-943154.0,943154.0,-92.10382901799986,-100.18254636928539,-1.0,250
av_COTTON_d1,real,-559617.0,-1910.0,-557707.0,559617.0,-69.29795735853587,-70.93801258545439,-1.0,151
av_COTTON_d4,real,-744777.0,16.0,-744793.0,744777.0,-92.4389260701044,-102.07370490137127,-1.0,228
av_COTTON_d9,real,-926009.0,-4019.0,-921990.0,926009.0,-94.11290318591767,-100.55718567291592,-1.0,220
av_SUGAR_d2,real,-967601.0,-206.0,-967395.0,967601.0,-108.99175877280277,-123.83181746403619,-1.0,238
av_SUGAR_d7,real,-1191792.0,0.0,-1191792.0,1191812.0,-93.30578767850504,-99.61197336502336,-0.9999832188298154,232
av_WHEAT_d10,real,-693745.0,-5555.0,-688190.0,693745.0,-81.52757615470948,-87.29787535305506,-1.0,252
av_WHEAT_d5,real,-570013.0,-451.0,-569562.0,570046.0,-59.364627007476166,-55.34593836760909,-0.9999421099349877,202
yf_ADM_d0,real,-1429412.0,0.0,-1429412.0,1429434.5,-105.35750081726263,-116.91794989379365,-0.9999842595096172,302
yf_ADM_d13,real,-790775.0,16.0,-790791.0,790775.0,-79.27187470404047,-83.27941952872649,-1.0,256
yf_ADM_d5,real,-797755.0,0.0,-797755.0,797755.0,-86.44807864862152,-95.13763704217536,-1.0,254
yf_BGS_d0,real,-707935.0,0.0,-707935.0,707935.0,-41.94234494841616,-35.78802720978466,-1.0,252
yf_BGS_d13,real,-1271089.0,-1753.0,-1269336.0,1271089.0,-67.39015818880533,-66.15257229399958,-1.0,275
yf_BGS_d5,real,-816959.0,-583.0,-816376.0,816959.0,-83.71436897037586,-89.18304933762923,-1.0,266
yf_MKC_d0,real,-1060019.0,-1763.0,-1058256.0,1060019.0,-94.28102893820102,-99.81173931882552,-1.0,314
yf_MKC_d13,real,-1294301.0,-5555.0,-1288746.0,1294301.0,-87.32059930179008,-89.61707498158188,-1.0,301
yf_MKC_d5,real,-936688.0,-1325.0,-935363.0,936688.0,-89.84944702520033,-95.79892888957167,-1.0,356
yf_ZC_F_d0,real,-988868.0,-15487.0,-973381.0,988868.0,-107.53296757310318,-122.82307243223485,-1.0,320
yf_ZC_F_d13,real,-1552790.0,0.0,-1552790.0,1552790.0,-87.40015926427597,-90.02784660419326,-1.0,327
yf_ZC_F_d5,real,-712945.0,404.0,-713349.0,712945.0,-95.12484593858808,-107.30150161308829,-1.0,314
yf_ZS_F_d0,real,-1313382.0,-1819.0,-1311563.0,1313525.0,-117.27242614907175,-135.74770317137194,-0.9998911326392722,296
yf_ZS_F_d13,real,-830675.0,630.0,-831305.0,830675.0,-88.14236693312623,-93.6644876938108,-1.0,285
yf_ZS_F_d5,real,-957758.5,-2302.5,-955456.0,957758.5,-93.96050599394518,-104.29801919546516,-1.0,322
yf_ZW_F_d0,real,-889048.0,-18764.0,-870284.0,889048.0,-106.9408532546816,-119.79256374630135,-1.0,289
yf_ZW_F_d13,real,-1335401.0,-2261.0,-1333140.0,1335401.0,-95.59914841168556,-103.94182821244118,-1.0,274
yf_ZW_F_d5,real,-1305897.0,-206.0,-1305691.0,1305897.0,-99.50818803103404,-107.1788641766602,-1.0,299
bear_normal_s0,scenario,-197397.0,-27609.0,-169788.0,198446.0,-11.402812526665747,-16.984878215961587,-0.9947139272144563,5708
bear_volatile_s0,scenario,-255948.0,-86160.0,-169788.0,256673.0,-8.022963129268781,-10.827506701810806,-0.9971753943733855,6157
bull_normal_s0,scenario,-156152.0,-27609.0,-128543.0,156977.0,-9.267138619349122,-13.818164576419703,-0.9947444530090396,5820
crash_normal_s0,scenario,-348267.0,-27609.0,-320658.0,349050.0,-17.832058430502364,-25.436704018440906,-0.9977567683712935,6141
crash_volatile_s0,scenario,-406818.0,-86160.0,-320658.0,407402.0,-12.303514081631409,-15.899445454709912,-0.9985665264284417,6590
high_vol_volatile_s0,scenario,-7655464.0,-86160.0,-7569304.0,7655464.0,-103.4102146430809,-124.44303163965772,-1.0,5695
sawtooth_normal_s0,scenario,-631216.0,-29494.0,-601722.0,631348.0,-32.93490641557485,-48.14150865447033,-0.9997909235477106,4706
sawtooth_volatile_s0,scenario,-690584.0,-88862.0,-601722.0,690815.0,-20.78748234582765,-28.262591431743758,-0.9996656123564196,5104
