name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,trade_count
imc_day_-2,imc,79074.0,0.0,79074.0,879800.0,7
imc_day_-1,imc,78420.0,0.0,78420.0,960000.0,8
imc_day_0,imc,77548.0,0.0,77548.0,1039800.0,19
av_COFFEE_d0,real,609408.0,0.0,609408.0,2237.0,358
av_COFFEE_d3,real,637576.0,0.0,637576.0,41074.5,367
av_COFFEE_d8,real,853501.5,0.0,853501.5,45995.0,396
av_CORN_d11,real,814388.0,0.0,814388.0,3281.5,276
av_CORN_d6,real,880983.0,0.0,880983.0,2476.5,348
av_COTTON_d1,real,556518.0,0.0,556518.0,3661.0,211
av_COTTON_d4,real,748695.0,0.0,748695.0,2817.0,307
av_COTTON_d9,real,753416.0,0.0,753416.0,46085.0,284
av_SUGAR_d2,real,935908.0,0.0,935908.0,3044.0,297
av_SUGAR_d7,real,672979.0,0.0,672979.0,125491.0,305
av_WHEAT_d10,real,543338.0,0.0,543338.0,50874.0,318
av_WHEAT_d5,real,451433.0,0.0,451433.0,15658.5,418
yf_ADM_d0,real,675906.0,0.0,675906.0,77176.0,371
yf_ADM_d13,real,553128.0,0.0,553128.0,44007.0,313
yf_ADM_d5,real,715715.0,0.0,715715.0,22217.0,337
yf_BGS_d0,real,265212.0,0.0,265212.0,214991.0,380
yf_BGS_d13,real,932072.0,0.0,932072.0,81822.0,343
yf_BGS_d5,real,675416.0,0.0,675416.0,40164.0,355
yf_MKC_d0,real,830781.0,0.0,830781.0,82657.0,411
yf_MKC_d13,real,770093.0,0.0,770093.0,51723.0,396
yf_MKC_d5,real,585450.0,0.0,585450.0,73534.5,463
yf_ZC_F_d0,real,724177.0,0.0,724177.0,54299.0,340
yf_ZC_F_d13,real,660776.0,0.0,660776.0,86160.0,362
yf_ZC_F_d5,real,665114.0,0.0,665114.0,3311.0,410
yf_ZS_F_d0,real,1039685.0,0.0,1039685.0,39940.0,341
yf_ZS_F_d13,real,567002.0,0.0,567002.0,80502.0,429
yf_ZS_F_d5,real,867008.0,0.0,867008.0,14875.5,425
yf_ZW_F_d0,real,752693.0,0.0,752693.0,32955.0,354
yf_ZW_F_d13,real,579830.0,0.0,579830.0,175372.0,340
yf_ZW_F_d5,real,616814.0,0.0,616814.0,107359.0,364
bear_normal_s0,scenario,144969.0,0.0,144969.0,6740.0,840
bear_volatile_s0,scenario,144969.0,0.0,144969.0,6740.0,840
bull_normal_s0,scenario,66078.0,0.0,66078.0,9435.0,1148
crash_normal_s0,scenario,168291.0,0.0,168291.0,88502.0,1475
crash_volatile_s0,scenario,168291.0,0.0,168291.0,88502.0,1475
high_vol_volatile_s0,scenario,-1406652.0,0.0,-1406652.0,1444903.0,538
sawtooth_normal_s0,scenario,613468.0,0.0,613468.0,3421.0,173
sawtooth_volatile_s0,scenario,613468.0,0.0,613468.0,3421.0,173
sideways_drift_s0,scenario,1074470.0,0.0,1074470.0,2638.0,307
sideways_normal_s0,scenario,1075647.0,0.0,1075647.0,2387.0,312
spike_crash_volatile_s0,scenario,382510.0,0.0,382510.0,88351.0,1322
v_recovery_drift_s0,scenario,446771.0,0.0,446771.0,4371.0,327
v_recovery_normal_s0,scenario,441969.0,0.0,441969.0,5629.0,338
