name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,trade_count
imc_day_-2,imc,76620.0,650.0,75970.0,915967.5,51
imc_day_-1,imc,78680.0,1334.0,77346.0,978002.0,65
imc_day_0,imc,79291.0,1651.0,77640.0,1074457.0,71
av_COFFEE_d0,real,-169675.0,-13003.0,-156672.0,266303.0,124
av_COFFEE_d3,real,-88056.0,-41171.0,-46885.0,260871.0,213
av_COFFEE_d8,real,-536936.0,-33394.0,-503542.0,569902.0,157
av_CORN_d11,real,-24457.0,-27234.0,2777.0,207764.0,98
av_CORN_d6,real,89605.0,-24800.0,114405.0,204367.0,77
av_COTTON_d1,real,-121034.0,-27763.0,-93271.0,262275.0,92
av_COTTON_d4,real,109615.0,2302.0,107313.0,180960.0,37
av_COTTON_d9,real,-76558.0,-31582.0,-44976.0,158548.0,102
av_SUGAR_d2,real,-146790.0,-18415.0,-128375.0,249871.0,108
av_SUGAR_d7,real,-109640.0,-16355.0,-93285.0,255782.0,74
av_WHEAT_d10,real,178018.0,-47267.0,225285.0,96786.0,187
av_WHEAT_d5,real,60013.0,-20581.0,80594.0,182080.0,72
yf_ADM_d0,real,-94988.0,-11077.0,-83911.0,273414.0,107
yf_ADM_d13,real,148782.0,2302.0,146480.0,76324.0,40
yf_ADM_d5,real,-228040.0,-14751.0,-213289.0,252866.0,39
yf_BGS_d0,real,-203314.0,-13003.0,-190311.0,249357.0,99
yf_BGS_d13,real,-357018.0,-44951.0,-312067.0,435146.0,178
yf_BGS_d5,real,-182441.0,-13299.0,-169142.0,310622.5,85
yf_MKC_d0,real,-287660.0,-44399.0,-243261.0,335757.0,226
yf_MKC_d13,real,-112110.0,-47267.0,-64843.0,251496.0,186
yf_MKC_d5,real,-41963.0,-30865.0,-11098.0,252064.0,98
yf_ZC_F_d0,real,-138364.0,-56556.0,-81808.0,266586.0,264
yf_ZC_F_d13,real,-34805.0,-8439.0,-26366.0,243627.0,52
yf_ZC_F_d5,real,172083.0,-19489.0,191572.0,45541.0,121
yf_ZS_F_d0,real,-47402.0,-33739.0,-13663.0,251335.0,115
yf_ZS_F_d13,real,-217990.0,-32448.0,-185542.0,313601.0,123
yf_ZS_F_d5,real,12031.0,-28238.0,40269.0,109085.0,94
yf_ZW_F_d0,real,-48523.0,-55970.0,7447.0,255669.0,222
yf_ZW_F_d13,real,-247791.0,-19507.0,-228284.0,406174.0,84
yf_ZW_F_d5,real,-117490.0,-18415.0,-99075.0,277241.0,147
bear_normal_s0,scenario,-123015.0,140015.0,-263030.0,127108.0,1973
bear_volatile_s0,scenario,-74413.0,188617.0,-263030.0,85197.0,2239
bull_normal_s0,scenario,356192.0,140015.0,216177.0,3280.0,1972
crash_normal_s0,scenario,123408.0,140015.0,-16607.0,170415.0,2000
crash_volatile_s0,scenario,172010.0,188617.0,-16607.0,139023.0,2266
high_vol_volatile_s0,scenario,-6978541.0,188617.0,-7167158.0,6978541.0,3868
sawtooth_normal_s0,scenario,161229.0,136950.0,24279.0,82774.0,1960
sawtooth_volatile_s0,scenario,203215.0,178936.0,24279.0,87949.0,2243
sideways_drift_s0,scenario,-205661.0,-26056.0,-179605.0,249246.0,837
sideways_normal_s0,scenario,-132419.0,140015.0,-272434.0,182217.0,2014
spike_crash_volatile_s0,scenario,122098.0,188617.0,-66519.0,250311.0,2395
v_recovery_drift_s0,scenario,-33861.0,-26056.0,-7805.0,278682.0,842
v_recovery_normal_s0,scenario,131673.0,140015.0,-8342.0,184753.0,2016
