name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,trade_count
imc_day_-2,imc,67939.0,0.0,67939.0,879800.0,151
imc_day_-1,imc,57239.0,0.0,57239.0,960000.0,254
imc_day_0,imc,48127.0,0.0,48127.0,1039800.0,321
av_COFFEE_d0,real,608730.0,0.0,608730.0,2117.5,400
av_COFFEE_d3,real,713755.0,0.0,713755.0,3713.0,400
av_COFFEE_d8,real,925206.0,0.0,925206.0,3950.0,435
av_CORN_d11,real,813535.0,0.0,813535.0,3218.0,319
av_CORN_d6,real,904771.0,0.0,904771.0,2591.0,377
av_COTTON_d1,real,584809.0,0.0,584809.0,3535.0,236
av_COTTON_d4,real,750741.0,0.0,750741.0,2563.0,333
av_COTTON_d9,real,797551.0,0.0,797551.0,3673.0,331
av_SUGAR_d2,real,943638.0,0.0,943638.0,2944.0,327
av_SUGAR_d7,real,945923.0,0.0,945923.0,5533.0,336
av_WHEAT_d10,real,640578.0,0.0,640578.0,5355.0,343
av_WHEAT_d5,real,547363.0,0.0,547363.0,2814.0,488
yf_ADM_d0,real,1077404.0,0.0,1077404.0,5762.0,409
yf_ADM_d13,real,677078.0,0.0,677078.0,5119.0,363
yf_ADM_d5,real,787109.0,0.0,787109.0,3712.0,390
yf_BGS_d0,real,510645.0,0.0,510645.0,6768.0,418
yf_BGS_d13,real,1107120.0,0.0,1107120.0,12401.0,390
yf_BGS_d5,real,747352.0,0.0,747352.0,3421.0,398
yf_MKC_d0,real,932247.0,0.0,932247.0,5128.5,446
yf_MKC_d13,real,1193843.0,0.0,1193843.0,5663.0,442
yf_MKC_d5,real,773744.0,0.0,773744.0,3296.0,533
yf_ZC_F_d0,real,863783.0,0.0,863783.0,3709.0,386
yf_ZC_F_d13,real,1084027.0,0.0,1084027.0,7521.0,396
yf_ZC_F_d5,real,687632.0,0.0,687632.0,2971.0,455
yf_ZS_F_d0,real,1237443.0,0.0,1237443.0,4062.5,397
yf_ZS_F_d13,real,702106.0,0.0,702106.0,5718.0,466
yf_ZS_F_d5,real,909743.0,0.0,909743.0,3782.5,474
yf_ZW_F_d0,real,804710.0,0.0,804710.0,3014.0,384
yf_ZW_F_d13,real,1083108.0,0.0,1083108.0,7223.5,403
yf_ZW_F_d5,real,1080525.0,0.0,1080525.0,7084.0,401
bear_normal_s0,scenario,119568.0,0.0,119568.0,6079.0,1112
bear_volatile_s0,scenario,119568.0,0.0,119568.0,6079.0,1112
bull_normal_s0,scenario,43823.0,0.0,43823.0,10919.0,1354
crash_normal_s0,scenario,177459.0,0.0,177459.0,68274.0,1610
crash_volatile_s0,scenario,177459.0,0.0,177459.0,68274.0,1610
high_vol_volatile_s0,scenario,718222.0,0.0,718222.0,48660.0,411
sawtooth_normal_s0,scenario,609019.0,0.0,609019.0,3007.0,211
sawtooth_volatile_s0,scenario,609019.0,0.0,609019.0,3007.0,211
sideways_drift_s0,scenario,1099822.0,0.0,1099822.0,2132.0,350
sideways_normal_s0,scenario,1100927.0,0.0,1100927.0,2204.0,343
spike_crash_volatile_s0,scenario,396708.0,0.0,396708.0,79254.0,1431
v_recovery_drift_s0,scenario,426594.0,0.0,426594.0,3715.0,475
v_recovery_normal_s0,scenario,428114.0,0.0,428114.0,4235.0,471
