name,category,final_pnl,max_drawdown,trade_count
imc_day_-2,imc,-1024.5,721288.0,105
imc_day_-1,imc,-179.0,820122.0,78
imc_day_0,imc,-216.0,730645.0,104
av_COFFEE_d0,real,0.0,0.0,0
av_COFFEE_d3,real,-86448.0,86598.0,1675
av_COFFEE_d8,real,-43563.0,44688.0,770
av_CORN_d11,real,-29940.0,31593.0,502
av_CORN_d6,real,-707.5,7337.0,95
av_COTTON_d1,real,-20480.0,20770.0,273
av_COTTON_d4,real,-13795.0,16173.0,284
av_COTTON_d9,real,-44811.0,44811.0,634
av_SUGAR_d2,real,692.0,9808.0,149
av_SUGAR_d7,real,-2054.0,2054.0,2
av_WHEAT_d10,real,-70832.0,72626.0,1205
av_WHEAT_d5,real,-8625.0,10929.0,104
yf_ADM_d0,real,0.0,0.0,0
yf_ADM_d13,real,-13795.0,16173.0,284
yf_ADM_d5,real,-10484.0,11329.0,168
yf_BGS_d0,real,0.0,0.0,0
yf_BGS_d13,real,-62857.0,64709.5,1097
yf_BGS_d5,real,-8429.0,8849.0,137
yf_MKC_d0,real,-56738.0,59593.5,1180
yf_MKC_d13,real,-70832.0,72626.0,1205
yf_MKC_d5,real,-27665.0,32005.0,428
yf_ZC_F_d0,real,-166690.0,166690.0,3218
yf_ZC_F_d13,real,2259.0,171.0,3
yf_ZC_F_d5,real,-1842.0,10883.0,187
yf_ZS_F_d0,real,-32395.0,32636.0,476
yf_ZS_F_d13,real,-11408.0,15699.5,293
yf_ZS_F_d5,real,-49881.0,53577.0,1020
yf_ZW_F_d0,real,-156784.0,156784.0,2973
yf_ZW_F_d13,real,-13512.0,13512.0,231
yf_ZW_F_d5,real,692.0,9808.0,149
bear_normal_s0,scenario,-8947.0,18922.0,3854
bear_volatile_s0,scenario,-102162.0,105747.0,6034
bull_normal_s0,scenario,-8947.0,18922.0,3854
crash_normal_s0,scenario,-8947.0,18922.0,3854
crash_volatile_s0,scenario,-102162.0,105747.0,6034
high_vol_volatile_s0,scenario,-102162.0,105747.0,6034
sawtooth_normal_s0,scenario,-25815.0,30564.0,3908
sawtooth_volatile_s0,scenario,-128485.0,130045.0,6182
sideways_drift_s0,scenario,-220361.0,223211.0,4926
sideways_normal_s0,scenario,-8947.0,18922.0,3854
spike_crash_volatile_s0,scenario,-102162.0,105747.0,6034
v_recovery_drift_s0,scenario,-220361.0,223211.0,4926
v_recovery_normal_s0,scenario,-8947.0,18922.0,3854
