name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_day_-2,imc,35573.0,-1099.5,36672.5,1058473.5,0.0014768382812611783,0.0015717183719165008,0.03360783241148692,366
imc_day_-1,imc,-2948.0,-749.0,-2199.0,1332969.0,-0.00012069214407210904,-0.00013025409382846692,-0.002211604320880681,365
imc_day_0,imc,873.0,-635.0,1508.0,1389600.5,3.9144621991190625e-05,4.168710452795537e-05,0.0006282381159189278,370
av_COFFEE_d0,real,-441989.0,0.0,-441989.0,454446.5,-38.07531403186248,-34.05143690116215,-0.972587532305783,2543
av_COFFEE_d3,real,-529636.0,-6021.0,-523615.0,529636.0,-47.5758389995183,-54.200126684773274,-1.0,2959
av_COFFEE_d8,real,-968648.5,-14265.0,-954383.5,968648.5,-68.4239640877901,-73.379877441856,-1.0,5199
av_CORN_d11,real,-656114.0,0.0,-656114.0,684375.0,-58.268631081491904,-69.65749572309065,-0.9587053881278539,4046
av_CORN_d6,real,-767436.0,0.0,-767436.0,767436.0,-57.61045838942183,-65.90058141964086,-1.0,4535
av_COTTON_d1,real,-326564.0,-7144.0,-319420.0,359065.0,-30.18277169338573,-32.41650921009695,-0.9094843552003119,2456
av_COTTON_d4,real,-559394.0,0.0,-559394.0,561319.0,-53.88870455693985,-61.69651983676168,-0.9965705775147465,3370
av_COTTON_d9,real,-863481.0,-1396.0,-862085.0,863481.0,-69.73975009152753,-79.14662617299531,-1.0,4855
av_SUGAR_d2,real,-862561.0,0.0,-862561.0,862561.0,-72.86425517394909,-91.65780369823369,-1.0,5571
av_SUGAR_d7,real,-1212380.0,0.0,-1212380.0,1212437.0,-79.58298551527002,-88.27734066217204,-0.9999529872479972,6400
av_WHEAT_d10,real,-507035.0,-22322.0,-484713.0,507035.0,-45.60630335220167,-49.4045549198183,-1.0,3159
av_WHEAT_d5,real,-467446.0,0.0,-467446.0,467501.0,-42.34306266898036,-36.406948786328456,-0.9998823531928274,2530
yf_ADM_d0,real,-1409518.0,0.0,-1409518.0,1409546.5,-84.49127570025203,-102.99571860486805,-0.9999797807308947,7813
yf_ADM_d13,real,-652772.0,0.0,-652772.0,665792.0,-51.75156313945208,-56.30482070797391,-0.9804443429779871,3935
yf_ADM_d5,real,-614860.0,0.0,-614860.0,630342.5,-51.40798209668782,-58.341899203714966,-0.9754379563491277,4018
yf_BGS_d0,real,-508118.0,0.0,-508118.0,517340.0,-29.297445224210666,-22.630955231823172,-0.9821741987860981,2483
yf_BGS_d13,real,-1158987.5,-18187.0,-1140800.5,1159020.0,-57.45643236351201,-56.60797699461238,-0.9999719590688685,5896
yf_BGS_d5,real,-670790.0,0.0,-670790.0,678460.0,-55.50055301478203,-58.666098045183375,-0.9886949857029155,3593
yf_MKC_d0,real,-909735.0,2621.0,-912356.0,912291.0,-65.13028996364463,-70.50014206301198,-0.997198262396538,5152
yf_MKC_d13,real,-1286349.0,-22322.0,-1264027.0,1299641.5,-75.5655069456903,-82.32095502429098,-0.9897721794818033,7265
yf_MKC_d5,real,-725010.0,1670.0,-726680.0,729865.5,-52.81325474905085,-59.84210294276144,-0.9933474044190334,4409
yf_ZC_F_d0,real,-810602.0,-35383.0,-775219.0,834030.0,-64.44540759371498,-77.87816379661278,-0.9719098833375298,5363
yf_ZC_F_d13,real,-1557170.0,0.0,-1557170.0,1557170.0,-80.20703909802396,-85.47729280084842,-1.0,7760
yf_ZC_F_d5,real,-473469.0,8611.0,-482080.0,473469.0,-47.89408456554468,-54.17342174091875,-1.0,2856
yf_ZS_F_d0,real,-1358002.0,-7805.0,-1350197.0,1360938.0,-97.63139861059454,-121.79348087285591,-0.9978426643976434,8115
yf_ZS_F_d13,real,-683772.0,0.0,-683772.0,687802.0,-57.37498683857065,-64.2800933225328,-0.9941407556244384,3911
yf_ZS_F_d5,real,-858317.5,-7864.5,-850453.0,862257.5,-63.05403482241753,-75.12173029255646,-0.995430599327927,5436
yf_ZW_F_d0,real,-723531.0,-40807.0,-682724.0,729909.5,-61.61547127522472,-74.68133484126747,-0.9912612454009709,4517
yf_ZW_F_d13,real,-1341133.0,-11204.0,-1329929.0,1341133.0,-80.70708923195872,-91.59678885875927,-1.0,7182
yf_ZW_F_d5,real,-1273735.0,0.0,-1273735.0,1284785.0,-82.30269279286321,-90.63185466888962,-0.9913993391890472,6677
bear_normal_s0,scenario,-224654.0,20794.0,-245448.0,227007.0,-13.10277826545335,-19.038759564535837,-0.9896346808688719,4453
bear_volatile_s0,scenario,-297669.0,-52221.0,-245448.0,299211.0,-10.504105261915901,-14.191145763245775,-0.9948464461533834,6101
bull_normal_s0,scenario,-179823.0,20794.0,-200617.0,180186.0,-10.660538460137758,-15.908691821584256,-0.9979854150710932,4280
crash_normal_s0,scenario,-340551.0,20794.0,-361345.0,342873.0,-17.848235030851207,-24.98279693200183,-0.9932278132136388,5750
crash_volatile_s0,scenario,-413566.0,-52221.0,-361345.0,413923.0,-14.063397697010412,-18.12659047372987,-0.9991375207466123,7398
high_vol_volatile_s0,scenario,-7669188.0,-52221.0,-7616967.0,7669188.0,-112.43344703154933,-131.7254282013027,-1.0,20661
sawtooth_normal_s0,scenario,-659198.0,16726.0,-675924.0,659389.0,-35.51216240935492,-49.50497052988186,-0.999710337903726,6838
sawtooth_volatile_s0,scenario,-746728.0,-70804.0,-675924.0,746943.0,-25.58700029249892,-34.02489341948947,-0.9997121600978923,8579
sideways_drift_s0,scenario,-1348867.0,-145584.0,-1203283.0,1348867.0,-74.1005733820163,-90.66123451169403,-1.0,9600
sideways_normal_s0,scenario,-1179029.0,20794.0,-1199823.0,1179029.0,-59.12880541129207,-75.72331606732699,-1.0,9587
spike_crash_volatile_s0,scenario,-645548.0,-52221.0,-593327.0,645905.0,-20.569254477306778,-26.168142283766368,-0.9994472871397496,9064
v_recovery_drift_s0,scenario,-660916.0,-145584.0,-515332.0,661022.0,-37.12875927987181,-50.640684469847784,-0.9998396422509387,6370
v_recovery_normal_s0,scenario,-492273.0,20794.0,-513067.0,492587.0,-25.582545899727968,-36.892655564289484,-0.9993625491537536,6285
