name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_day_-2,imc,13245.0,1061.0,12184.0,604667.0,0.0017474335671000707,0.0018060622207328714,0.021904618575182704,305
imc_day_-1,imc,3874.0,906.0,2968.0,635544.0,0.00048008891493306674,0.000504190674245977,0.006095565373915889,344
imc_day_0,imc,3472.0,649.0,2823.0,954919.0,0.0003815049251272955,0.00039844637493578695,0.0036359104803653504,337
av_COFFEE_d0,real,-441071.0,0.0,-441071.0,441936.0,-42.37502901392708,-33.426851771237175,-0.9980427030158213,1466
av_COFFEE_d3,real,-544968.0,-814.0,-544154.0,544968.0,-62.12476639835937,-59.55290303988112,-1.0,1319
av_COFFEE_d8,real,-923533.0,-13283.0,-910250.0,923533.0,-70.9141642118205,-69.56209317701807,-1.0,2993
av_CORN_d11,real,-692517.0,0.0,-692517.0,692517.0,-73.87046600373911,-74.69510278156646,-1.0,2131
av_CORN_d6,real,-803357.0,0.0,-803357.0,803357.0,-70.44763961258539,-69.13102405041391,-1.0,2477
av_COTTON_d1,real,-427450.0,-952.0,-426498.0,431068.0,-49.71238193297289,-44.42414894719925,-0.9916068926480277,1336
av_COTTON_d4,real,-544555.0,0.0,-544555.0,544555.0,-65.95339227057467,-64.01923571165253,-1.0,1213
av_COTTON_d9,real,-818673.5,-2203.0,-816470.5,818673.5,-74.56855645935292,-75.23044104363922,-1.0,2562
av_SUGAR_d2,real,-845598.0,0.0,-845598.0,845598.0,-84.18147772836065,-87.69232576801977,-1.0,2802
av_SUGAR_d7,real,-1159130.0,0.0,-1159130.0,1159178.0,-80.52966321873065,-82.53926780599589,-0.9999585913466267,3856
av_WHEAT_d10,real,-525505.0,-3073.0,-522432.0,525505.0,-57.211152830754166,-54.546164952031326,-1.0,1641
av_WHEAT_d5,real,-479824.0,0.0,-479824.0,479872.0,-46.745869153833944,-37.95285956239619,-0.9998999733262203,1516
yf_ADM_d0,real,-1440855.0,0.0,-1440855.0,1440880.5,-94.5160066674011,-101.3545235508532,-0.9999823024879578,5222
yf_ADM_d13,real,-687957.0,0.0,-687957.0,689053.5,-62.2009341825071,-58.99653968076945,-0.9984086866984929,2317
yf_ADM_d5,real,-672137.0,0.0,-672137.0,672137.0,-65.29118030193479,-63.12205056193659,-1.0,2470
yf_BGS_d0,real,-517720.0,0.0,-517720.0,519000.0,-31.083340541515252,-23.31297417019549,-0.997533718689788,1199
yf_BGS_d13,real,-1172185.0,-4250.0,-1167935.0,1172185.0,-61.270209634581164,-58.83202145367336,-1.0,3285
yf_BGS_d5,real,-668402.0,0.0,-668402.0,668436.0,-63.05731617967217,-60.462525109208485,-0.9999491349957214,1928
yf_MKC_d0,real,-936997.0,-97.0,-936900.0,938420.0,-74.47848074729644,-74.34105368698941,-0.9984836214061934,3147
yf_MKC_d13,real,-1233019.0,-3073.0,-1229946.0,1233019.0,-77.74852160593417,-77.68054561471078,-1.0,3895
yf_MKC_d5,real,-769564.0,-364.0,-769200.0,769564.0,-66.20866147940362,-64.4441544351908,-1.0,2471
yf_ZC_F_d0,real,-841643.0,-12092.0,-829551.0,841643.0,-82.48896742100311,-85.7175401916289,-1.0,2551
yf_ZC_F_d13,real,-1546789.0,0.0,-1546789.0,1546789.0,-82.94585004714706,-83.90296557034813,-1.0,5080
yf_ZC_F_d5,real,-483526.0,2664.0,-486190.0,483526.0,-64.1198143187654,-63.687386442365806,-1.0,1130
yf_ZS_F_d0,real,-1309273.0,-1191.0,-1308082.0,1310714.0,-103.52289335258726,-113.72137156527957,-0.9989005992153894,4831
yf_ZS_F_d13,real,-681655.0,0.0,-681655.0,683081.0,-66.3091526643715,-64.43054488110458,-0.9979123998471631,2025
yf_ZS_F_d5,real,-847845.5,-1222.5,-846623.0,849878.0,-73.97999882363852,-74.55523873048443,-0.9976084802759926,2857
yf_ZW_F_d0,real,-744238.0,-17663.0,-726575.0,744238.0,-81.19872162155548,-83.67106584966906,-1.0,2142
yf_ZW_F_d13,real,-1338546.0,-2125.0,-1336421.0,1338546.0,-86.59624777878568,-90.41308905324273,-1.0,4641
yf_ZW_F_d5,real,-1252282.0,0.0,-1252282.0,1252282.0,-86.5600722071332,-89.41500025312031,-1.0,3994
bear_normal_s0,scenario,-66722.0,28897.0,-95619.0,69100.0,-4.605955040499719,-6.698582721062825,-0.9655861070911722,4738
bear_volatile_s0,scenario,-153373.0,-57754.0,-95619.0,154692.0,-5.243844565843615,-6.673697857590927,-0.9914733793602772,6762
bull_normal_s0,scenario,-40155.0,28897.0,-69052.0,40656.0,-2.8267642912102255,-4.117234140517872,-0.9876770956316411,4729
crash_normal_s0,scenario,-253315.0,28897.0,-282212.0,256103.0,-15.010868098421508,-19.8983233847448,-0.9891137550126317,6125
crash_volatile_s0,scenario,-339966.0,-57754.0,-282212.0,340331.0,-11.171143645343975,-13.553214020315645,-0.9989275146842339,8149
high_vol_volatile_s0,scenario,-7825016.0,-57754.0,-7767262.0,7825016.0,-112.84786042395451,-130.9247000202734,-1.0,17793
sawtooth_normal_s0,scenario,-477235.0,20429.0,-497664.0,477660.0,-28.438637285306676,-39.17711159646086,-0.9991102457815182,5411
sawtooth_volatile_s0,scenario,-562597.0,-64933.0,-497664.0,562874.0,-18.560585345409496,-23.936149431189175,-0.9995078827588413,7419
sideways_drift_s0,scenario,-1217178.0,-66349.0,-1150829.0,1217178.0,-75.6833704624943,-88.56324532118053,-1.0,6450
sideways_normal_s0,scenario,-1129588.0,28897.0,-1158485.0,1129698.0,-59.8952499475343,-76.08808260132479,-0.999902628844169,7810
