session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,-66.61734506298671,754.363682428142,66,80,80,152
1,948.3638714583358,644.1136416982918,80,80,84,113
2,781.2640621061437,599.5581957690301,74,80,103,135
3,-236.74146134752664,1024.796983972301,79,80,89,125
4,2015.3284927832428,467.215820253361,80,80,96,118
5,-331.22542505926685,1419.2127589528973,62,80,92,150
6,-731.9137611938204,830.6568070435824,80,80,97,152
7,754.4930781223229,508.591404976034,75,80,94,120
8,943.0547594918171,714.5324514678214,80,80,90,107
9,1502.6284719177638,859.0898219445808,73,80,93,119
10,-1450.3673089294462,2120.873097643227,74,80,83,115
11,868.3994742392679,787.4689250578522,57,80,70,125
12,369.5020370495622,719.7107765122782,80,80,116,128
13,1023.794112028263,662.2486954339547,80,80,97,128
14,1621.784678844444,533.8880655832472,80,80,103,113
15,484.4504592094054,703.1392494485772,80,80,124,125
16,-374.64189247164177,1256.2567747603607,65,80,80,122
17,423.1053512695944,904.8537587284518,75,80,114,135
18,-547.3127438448719,1007.2326634851051,80,80,119,101
19,140.33458974417226,936.7459864171542,80,80,117,142
20,21.19525435823016,730.323923246804,80,80,116,111
21,142.11078329279553,662.9674679349846,80,80,110,114
22,971.138568514667,608.2721980586648,80,80,97,117
23,1957.6779092816432,604.6188846058212,75,80,157,104
24,919.5480485401931,557.9604253818688,66,80,93,119
25,-818.011722637515,1268.765464823984,80,80,112,142
26,296.56421390682226,918.8331235773658,77,80,97,152
27,808.7337844457361,602.901358284289,63,80,102,128
28,282.28239899897017,921.5088271132408,77,80,94,146
29,1371.2467707497708,763.5844897301577,78,80,117,122
30,1137.1780964952413,468.2093249936588,80,80,90,132
31,-860.1596575358417,1372.4635268956772,80,80,135,121
32,2292.661704271406,460.2351236115064,80,80,132,106
33,912.5245550925029,584.0321832055524,77,80,103,125
34,1395.675528351625,493.0454373457469,80,80,89,114
35,1288.710195574502,849.5248228807468,78,80,118,102
36,1728.3860924675828,594.6844044670579,56,80,94,127
37,1238.1727069609624,487.2715820362646,80,80,91,112
38,372.78157010267023,604.4818344972737,71,80,90,115
39,-504.44215297338087,705.4998659373523,80,80,100,132
40,545.9024466334959,472.5233577268082,80,80,86,134
41,399.6788088035246,1164.0318000562984,72,80,81,119
42,-179.46576024768,915.2699284120026,80,80,111,121
43,718.8011004053988,441.0801231848309,80,80,98,104
44,-967.9013097037969,1254.1546531843487,72,80,120,132
45,682.8435601595265,806.4018185703899,80,80,123,128
46,-729.5953955519362,955.8499132645666,80,80,91,151
47,909.2426352022158,520.2617024788269,80,80,87,113
48,172.0941791501391,762.9930187953505,64,80,85,151
49,1575.3695477308356,353.59385671146447,61,80,96,102
