session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,1172.8662465453963,224.77477961634577,80,80,111,91
1,1374.8779981608677,272.66359119388653,80,80,151,95
2,1784.8364889781224,207.83542674639466,80,80,131,101
3,2174.8852746902703,176.1306694920786,80,53,134,77
4,1982.5655008255853,209.09945917935693,80,70,113,91
5,920.258892390324,249.10642212137464,80,68,113,88
6,1556.3475832071927,284.023011934245,80,80,126,80
7,1575.6988986091455,229.07492985739373,80,70,91,71
8,1537.5642447217979,263.85266055232205,80,80,118,98
9,1522.2934064012807,213.5613835994336,80,56,135,72
10,919.5342329343257,319.835042701925,80,80,113,89
11,1615.1716555347084,188.2696454023826,80,80,120,99
12,1549.663429795779,229.12029059641645,80,69,121,93
13,1861.3363767274132,205.73476112724165,80,80,117,89
14,1822.6327494530233,190.3923660593573,80,77,119,91
15,2175.737406810207,208.96031865012628,80,74,138,65
16,919.5517823616992,223.20901604028768,80,58,108,93
17,1819.4176081008263,276.41782410710584,80,80,136,92
18,1409.8919251220068,242.44460264915324,80,80,136,105
19,1940.5424648601038,187.39572872348072,80,49,137,93
20,1708.460585285211,187.89931355885346,80,80,135,77
21,1722.676810676232,246.2368019145215,80,80,133,97
22,1431.1131511877247,162.01215315554873,80,80,160,75
23,1174.4217802671228,313.81215984909795,80,64,152,87
24,1514.239178943506,257.7729118070565,80,80,134,78
25,1413.4354665391802,217.30812149628764,80,80,99,101
26,1628.9873661069869,284.274086659716,80,80,133,97
27,1633.5873846413306,230.79627603744302,80,67,122,107
28,1583.4560795643483,208.3067891970568,80,80,129,89
29,1890.012573540087,176.8562473148777,80,54,147,93
30,1738.6995452400079,211.36008844565367,80,55,106,79
31,1181.372559917394,222.99211166951864,80,64,133,68
32,1597.3420513342098,246.10831911296918,80,80,156,75
33,1822.569711067772,269.5757546550012,80,77,124,93
34,1225.0241657793376,191.67120392399738,80,65,107,83
35,1250.1561209324555,202.78994304673324,80,37,134,52
36,1303.5062984747628,220.839292751858,80,68,124,95
37,1789.1998207059514,255.49384049736545,80,80,133,92
38,1633.4590595417394,207.72953325339768,80,70,113,102
39,1253.3200745762733,205.54503491679498,80,80,99,75
40,1466.227382842626,226.9843199289753,80,72,136,104
41,1015.2524799500243,228.84406596243934,80,80,86,89
42,1400.233016246777,209.02852036109834,80,61,113,86
43,1710.0225797156854,190.6399428510631,80,62,106,63
44,1442.2455575355361,209.3494340305915,80,71,118,93
45,1208.8717930196435,264.81849625409814,80,60,108,79
46,1196.8347983665499,243.11936855848762,80,74,117,91
47,1724.2092168678137,211.28909312987525,80,80,124,80
48,1769.4854687556217,164.7171949794283,80,80,126,101
49,1665.336276505841,169.16634194651851,80,58,122,68
