name,category,final_pnl,max_drawdown,trade_count
imc_day_-2,imc,82385.0,1607333.0,105
imc_day_-1,imc,82552.0,1737830.0,112
imc_day_0,imc,82313.0,1840280.0,107
yf_ADM_d0,real,155467.0,162566.0,309
yf_ADM_d13,real,145318.0,77676.0,27
yf_ADM_d5,real,-155965.0,240265.0,52
yf_BGS_d0,real,-164830.0,229284.0,113
yf_BGS_d13,real,-32000.0,180861.0,870
yf_BGS_d5,real,-7497.0,240939.0,58
yf_MKC_d0,real,-6140.0,241724.0,169
yf_MKC_d13,real,-50925.0,239846.0,26
yf_MKC_d5,real,65667.0,239480.0,50
yf_ZS_F_d0,real,-1773.0,223296.0,117
yf_ZS_F_d13,real,-81978.0,233880.0,71
yf_ZS_F_d5,real,40603.0,114738.0,22
yf_ZW_F_d0,real,10575.0,237994.0,107
yf_ZW_F_d13,real,-22945.0,248467.0,177
yf_ZW_F_d5,real,99411.0,110813.0,316
bear_normal_s0,scenario,-109539.0,115275.0,1789
bear_volatile_s0,scenario,-44364.0,65762.0,1921
bull_normal_s0,scenario,370423.0,2955.0,1789
crash_normal_s0,scenario,137750.0,172114.0,1821
crash_volatile_s0,scenario,202925.0,144005.0,1953
high_vol_volatile_s0,scenario,-2309270.0,2368185.0,14601
sawtooth_normal_s0,scenario,172852.0,79978.0,1721
sawtooth_volatile_s0,scenario,245165.0,73525.0,1907
sideways_drift_s0,scenario,-53610.0,148508.0,112
sideways_normal_s0,scenario,110933.0,126555.0,1860
spike_crash_volatile_s0,scenario,156263.0,241240.0,2102
v_recovery_drift_s0,scenario,-19835.0,253346.0,104
v_recovery_normal_s0,scenario,145322.0,179653.0,1838
