name,category,final_pnl,max_drawdown,trade_count
imc_day_-2,imc,311.0,800840.0,46
imc_day_-1,imc,886.0,939466.0,36
imc_day_0,imc,1116.0,801106.0,49
yf_ADM_d0,real,-53062.0,53102.0,156
yf_ADM_d13,real,-165.0,165.0,1
yf_ADM_d5,real,11481.0,6840.0,6
yf_BGS_d0,real,-53212.0,53212.0,138
yf_BGS_d13,real,-5419.0,5419.0,7
yf_BGS_d5,real,9389.0,6120.0,7
yf_MKC_d0,real,-53062.0,53102.0,156
yf_MKC_d13,real,-165.0,165.0,1
yf_MKC_d5,real,11481.0,6840.0,6
yf_ZS_F_d0,real,-53212.0,53212.0,138
yf_ZS_F_d13,real,-5419.0,5419.0,7
yf_ZS_F_d5,real,9389.0,6120.0,7
yf_ZW_F_d0,real,-53062.0,53102.0,156
yf_ZW_F_d13,real,-165.0,165.0,1
yf_ZW_F_d5,real,11481.0,6840.0,6
bear_normal_s0,scenario,112427.0,3160.0,1979
bear_volatile_s0,scenario,137369.0,10368.0,2196
bull_normal_s0,scenario,112427.0,3160.0,1979
crash_normal_s0,scenario,112427.0,3160.0,1979
crash_volatile_s0,scenario,137369.0,10368.0,2196
high_vol_volatile_s0,scenario,137369.0,10368.0,2196
sawtooth_normal_s0,scenario,104072.0,3025.0,1932
sawtooth_volatile_s0,scenario,120102.0,13632.0,2176
sideways_drift_s0,scenario,-33908.0,38870.0,1114
sideways_normal_s0,scenario,112427.0,3160.0,1979
spike_crash_volatile_s0,scenario,137369.0,10368.0,2196
v_recovery_drift_s0,scenario,-33908.0,38870.0,1114
v_recovery_normal_s0,scenario,112427.0,3160.0,1979
