name,category,final_pnl,max_drawdown,trade_count
imc_day_-2,imc,-1221.5,1317615.0,549
imc_day_-1,imc,-28306.0,1503817.0,597
imc_day_0,imc,-22202.0,1330486.0,594
yf_ADM_d0,real,-1398508.0,1398583.0,401
yf_ADM_d13,real,-782669.0,782669.0,332
yf_ADM_d5,real,-776897.5,776897.5,336
yf_BGS_d0,real,-689520.5,689520.5,345
yf_BGS_d13,real,-1238888.0,1238888.0,370
yf_BGS_d5,real,-795724.0,795724.0,348
yf_MKC_d0,real,-1017946.0,1018459.0,402
yf_MKC_d13,real,-1256176.0,1256176.0,371
yf_MKC_d5,real,-892765.0,892765.0,404
yf_ZS_F_d0,real,-1271491.0,1272337.0,383
yf_ZS_F_d13,real,-807245.0,807245.0,375
yf_ZS_F_d5,real,-917238.0,917243.0,424
yf_ZW_F_d0,real,-839625.0,839625.0,358
yf_ZW_F_d13,real,-1313378.0,1313378.0,357
yf_ZW_F_d5,real,-1267619.0,1267619.0,378
bear_normal_s0,scenario,-316835.0,317157.0,2175
bear_volatile_s0,scenario,-410893.0,411421.0,3161
bull_normal_s0,scenario,-264475.0,264475.0,2403
crash_normal_s0,scenario,-414407.0,414523.0,2820
crash_volatile_s0,scenario,-508465.0,509334.0,3806
high_vol_volatile_s0,scenario,-7742154.0,7742154.0,3922
sawtooth_normal_s0,scenario,-714866.0,714996.0,1637
sawtooth_volatile_s0,scenario,-804864.0,805018.0,2574
sideways_drift_s0,scenario,-1178760.0,1178760.0,1203
sideways_normal_s0,scenario,-1223875.0,1223875.0,1875
spike_crash_volatile_s0,scenario,-719087.0,720124.0,3877
v_recovery_drift_s0,scenario,-519016.0,519214.0,1245
v_recovery_normal_s0,scenario,-564196.0,564487.0,1930
