session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,-3644.3925340118003,3860.7023504982935,0,80,0,10
1,-8725.581341342826,8747.91518971714,0,80,0,22
2,-10572.894840809808,10628.257146577409,0,80,0,30
3,-4603.816712372936,4908.0111688403995,0,80,0,13
4,-5189.187342649384,6214.1833780343295,0,80,0,15
5,-3461.7967067447025,4855.206535079866,0,80,0,13
6,-3738.2366175789502,4025.949880317261,0,80,0,10
7,-4296.713254629227,4818.876078220375,0,80,0,10
8,-4084.9540437213727,4247.490702409472,0,80,0,12
9,-6514.814383296034,6539.46309714613,0,80,0,17
10,-7866.205971300369,7866.205971300369,0,80,0,24
11,-6918.0633546351455,7546.709770075802,0,80,0,20
12,-6403.211464657274,6591.76788210246,0,80,0,18
13,-7716.636541664542,8131.928233865183,0,80,0,23
14,-5541.994212811813,5951.799825689814,0,80,0,20
15,-6387.811706067354,6387.811706067354,0,80,0,18
16,-7049.507249408343,8119.518577655195,0,80,0,26
17,-822.6506820577779,1648.6311209802516,0,80,0,4
18,-6730.762841053249,7489.814839010127,0,80,0,20
19,-8129.7404875779175,8401.551591565018,0,80,0,19
20,-3216.441443368123,3846.858248965931,0,80,0,11
21,-7326.399926945043,7586.453607936855,0,80,0,21
22,-5945.39575660869,5984.156631558901,0,80,0,19
23,-11064.4410343481,11620.427244000835,0,80,0,34
24,-4110.651012137823,4368.937184267328,0,80,0,12
25,-6960.563053221209,7160.914453686564,0,80,0,21
26,-3840.7439581561484,4843.105995997204,0,80,0,13
27,-5318.917273256695,5816.722651242453,0,80,0,15
28,-2835.6576299974695,3401.3708065245883,0,80,0,9
29,-2474.1731289639138,3476.8726481762715,0,80,0,10
30,-3462.118092105491,3768.227842491935,0,80,0,13
31,-9337.580474622897,9415.760338966385,0,80,0,23
32,-7256.619497106411,7809.628811026341,0,80,0,20
33,-2255.7546853047097,2480.7546947365627,0,80,0,7
34,-9243.201136922231,9554.784995818685,0,80,0,29
35,-4157.790288718359,4614.790919631079,0,80,0,10
36,-4422.237080335384,5106.086635021726,0,80,0,15
37,-7575.117094113375,7670.305427936662,0,80,0,19
38,-5703.035880408308,5703.035880408308,0,80,0,16
39,-11632.281497809978,11792.68885178148,0,80,0,34
40,-4912.0,4912.0,0,80,0,16
41,-10565.168144516996,10709.058677871653,0,80,0,31
42,-4218.346803626919,5219.764830208151,0,80,0,12
43,-796.4920386674348,1435.076620832202,0,80,0,4
44,-4161.03699890757,4260.660908288264,0,80,0,10
45,-6699.044566753204,6915.017821006826,0,80,0,16
46,-7748.799879131489,7990.165839342342,0,80,0,23
47,-4971.7438335537445,5218.628541311016,0,80,0,15
48,-1951.5597252537846,2810.3385640901397,0,80,0,7
49,-2149.3511371325585,3147.913819240639,0,80,0,9
