day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
av_COTTON_d0;0;ASH_COATED_OSMIUM;9968;9;9965;17;;;9974;24;9976;21;;;9971.0;0.0
av_COTTON_d0;0;INTARIAN_PEPPER_ROOT;10322;14;10320;22;;;10334;23;10336;24;;;10328.0;0.0
av_COTTON_d0;100;ASH_COATED_OSMIUM;9968;5;9966;27;;;9975;16;9978;22;;;9971.5;0.0
av_COTTON_d0;100;INTARIAN_PEPPER_ROOT;10323;10;10320;16;;;10331;17;10335;15;;;10327.0;0.0
av_COTTON_d0;200;ASH_COATED_OSMIUM;9969;11;9966;11;;;9975;12;9979;14;;;9972.0;0.0
av_COTTON_d0;200;INTARIAN_PEPPER_ROOT;10324;15;10321;13;;;10330;21;10334;20;;;10327.0;0.0
av_COTTON_d0;300;ASH_COATED_OSMIUM;9969;29;9965;29;;;9975;9;9978;18;;;9972.0;0.0
av_COTTON_d0;300;INTARIAN_PEPPER_ROOT;10323;16;10321;24;;;10329;16;10333;27;;;10326.0;0.0
av_COTTON_d0;400;ASH_COATED_OSMIUM;9968;12;9964;16;;;9974;16;9976;18;;;9971.0;0.0
av_COTTON_d0;400;INTARIAN_PEPPER_ROOT;10323;10;10321;17;;;10329;13;10331;17;;;10326.0;0.0
av_COTTON_d0;500;ASH_COATED_OSMIUM;9968;13;9964;24;;;9974;19;9978;18;;;9971.0;0.0
av_COTTON_d0;500;INTARIAN_PEPPER_ROOT;10313;13;10311;21;;;10335;10;10339;26;;;10324.0;0.0
av_COTTON_d0;600;ASH_COATED_OSMIUM;9969;24;9966;14;;;9975;10;9979;23;;;9972.0;0.0
av_COTTON_d0;600;INTARIAN_PEPPER_ROOT;10320;18;10317;18;;;10326;12;10329;18;;;10323.0;0.0
av_COTTON_d0;700;ASH_COATED_OSMIUM;9967;18;9963;13;;;9978;11;9980;29;;;9972.5;0.0
av_COTTON_d0;700;INTARIAN_PEPPER_ROOT;10318;11;10314;15;;;10326;14;10330;23;;;10322.0;0.0
av_COTTON_d0;800;ASH_COATED_OSMIUM;9962;18;9959;24;;;9982;12;9984;22;;;9972.0;0.0
av_COTTON_d0;800;INTARIAN_PEPPER_ROOT;10318;22;10314;17;;;10324;18;10328;18;;;10321.0;0.0
av_COTTON_d0;900;ASH_COATED_OSMIUM;9963;16;9961;24;;;9981;12;9984;28;;;9972.0;0.0
av_COTTON_d0;900;INTARIAN_PEPPER_ROOT;10317;16;10314;25;;;10323;14;10327;27;;;10320.0;0.0
