day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
yf_MKC_d3;0;ASH_COATED_OSMIUM;10066;12;10063;17;;;10072;16;10076;16;;;10069.0;0.0
yf_MKC_d3;0;INTARIAN_PEPPER_ROOT;11422;12;11418;23;;;11428;15;11431;21;;;11425.0;0.0
yf_MKC_d3;100;ASH_COATED_OSMIUM;10062;13;10060;16;;;10075;10;10079;24;;;10068.5;0.0
yf_MKC_d3;100;INTARIAN_PEPPER_ROOT;11410;17;11407;25;;;11441;10;11444;20;;;11425.5;0.0
yf_MKC_d3;200;ASH_COATED_OSMIUM;10066;18;10063;13;;;10072;13;10074;19;;;10069.0;0.0
yf_MKC_d3;200;INTARIAN_PEPPER_ROOT;11412;12;11410;21;;;11438;8;11441;16;;;11425.0;0.0
yf_MKC_d3;300;ASH_COATED_OSMIUM;10066;18;10062;14;;;10072;22;10075;21;;;10069.0;0.0
yf_MKC_d3;300;INTARIAN_PEPPER_ROOT;11414;8;11412;20;;;11436;17;11438;30;;;11425.0;0.0
yf_MKC_d3;400;ASH_COATED_OSMIUM;10060;9;10057;20;;;10077;16;10079;21;;;10068.5;0.0
yf_MKC_d3;400;INTARIAN_PEPPER_ROOT;11416;10;11414;11;;;11432;13;11436;19;;;11424.0;0.0
yf_MKC_d3;500;ASH_COATED_OSMIUM;10061;11;10057;13;;;10075;13;10078;20;;;10068.0;0.0
yf_MKC_d3;500;INTARIAN_PEPPER_ROOT;11420;14;11416;24;;;11426;12;11430;17;;;11423.0;0.0
yf_MKC_d3;600;ASH_COATED_OSMIUM;10066;10;10064;26;;;10072;16;10076;15;;;10069.0;0.0
yf_MKC_d3;600;INTARIAN_PEPPER_ROOT;11416;12;11414;18;;;11431;15;11433;13;;;11423.5;0.0
yf_MKC_d3;700;ASH_COATED_OSMIUM;10051;14;10049;25;;;10087;13;10089;23;;;10069.0;0.0
yf_MKC_d3;700;INTARIAN_PEPPER_ROOT;11417;12;11413;18;;;11430;14;11432;22;;;11423.5;0.0
yf_MKC_d3;800;ASH_COATED_OSMIUM;10066;7;10063;21;;;10072;11;10074;17;;;10069.0;0.0
yf_MKC_d3;800;INTARIAN_PEPPER_ROOT;11420;10;11417;13;;;11426;25;11430;17;;;11423.0;0.0
yf_MKC_d3;900;ASH_COATED_OSMIUM;10066;9;10062;19;;;10072;9;10076;17;;;10069.0;0.0
yf_MKC_d3;900;INTARIAN_PEPPER_ROOT;11420;15;11418;8;;;11426;14;11429;26;;;11423.0;0.0
yf_MKC_d3;1000;ASH_COATED_OSMIUM;10066;9;10064;17;;;10072;21;10076;24;;;10069.0;0.0
yf_MKC_d3;1000;INTARIAN_PEPPER_ROOT;11420;20;11417;24;;;11426;23;11430;23;;;11423.0;0.0
yf_MKC_d3;1100;ASH_COATED_OSMIUM;10059;15;10056;15;;;10079;24;10081;24;;;10069.0;0.0
yf_MKC_d3;1100;INTARIAN_PEPPER_ROOT;11418;15;11416;27;;;11429;20;11433;11;;;11423.5;0.0
yf_MKC_d3;1200;ASH_COATED_OSMIUM;10066;15;10063;20;;;10072;10;10075;13;;;10069.0;0.0
yf_MKC_d3;1200;INTARIAN_PEPPER_ROOT;11420;9;11416;28;;;11426;17;11430;20;;;11423.0;0.0
yf_MKC_d3;1300;ASH_COATED_OSMIUM;10066;18;10064;21;;;10072;21;10074;15;;;10069.0;0.0
yf_MKC_d3;1300;INTARIAN_PEPPER_ROOT;11419;23;11417;18;;;11425;7;11429;20;;;11422.0;0.0
yf_MKC_d3;1400;ASH_COATED_OSMIUM;10065;10;10061;23;;;10075;11;10077;27;;;10070.0;0.0
yf_MKC_d3;1400;INTARIAN_PEPPER_ROOT;11419;16;11416;22;;;11425;16;11428;12;;;11422.0;0.0
yf_MKC_d3;1500;ASH_COATED_OSMIUM;10064;22;10060;8;;;10074;5;10076;20;;;10069.0;0.0
yf_MKC_d3;1500;INTARIAN_PEPPER_ROOT;11419;14;11417;20;;;11425;17;11428;8;;;11422.0;0.0
yf_MKC_d3;1600;ASH_COATED_OSMIUM;10066;19;10063;19;;;10072;12;10074;8;;;10069.0;0.0
yf_MKC_d3;1600;INTARIAN_PEPPER_ROOT;11418;13;11416;31;;;11425;16;11429;24;;;11421.5;0.0
yf_MKC_d3;1700;ASH_COATED_OSMIUM;10061;10;10059;23;;;10077;11;10080;15;;;10069.0;0.0
yf_MKC_d3;1700;INTARIAN_PEPPER_ROOT;11419;22;11416;18;;;11425;15;11427;21;;;11422.0;0.0
yf_MKC_d3;1800;ASH_COATED_OSMIUM;10066;17;10064;24;;;10072;13;10076;21;;;10069.0;0.0
yf_MKC_d3;1800;INTARIAN_PEPPER_ROOT;11409;6;11405;24;;;11433;17;11436;20;;;11421.0;0.0
yf_MKC_d3;1900;ASH_COATED_OSMIUM;10067;12;10064;23;;;10073;18;10077;13;;;10070.0;0.0
yf_MKC_d3;1900;INTARIAN_PEPPER_ROOT;11418;23;11414;27;;;11424;20;11428;17;;;11421.0;0.0
yf_MKC_d3;2000;ASH_COATED_OSMIUM;10066;22;10064;19;;;10072;17;10075;18;;;10069.0;0.0
yf_MKC_d3;2000;INTARIAN_PEPPER_ROOT;11417;15;11415;10;;;11423;13;11426;21;;;11420.0;0.0
yf_MKC_d3;2100;ASH_COATED_OSMIUM;10066;6;10064;21;;;10073;12;10075;12;;;10069.5;0.0
yf_MKC_d3;2100;INTARIAN_PEPPER_ROOT;11414;10;11412;12;;;11426;16;11429;10;;;11420.0;0.0
yf_MKC_d3;2200;ASH_COATED_OSMIUM;10066;13;10064;28;;;10072;5;10076;14;;;10069.0;0.0
yf_MKC_d3;2200;INTARIAN_PEPPER_ROOT;11417;15;11413;20;;;11423;23;11426;17;;;11420.0;0.0
yf_MKC_d3;2300;ASH_COATED_OSMIUM;10066;17;10062;13;;;10072;15;10074;17;;;10069.0;0.0
yf_MKC_d3;2300;INTARIAN_PEPPER_ROOT;11414;16;11411;14;;;11425;13;11429;8;;;11419.5;0.0
yf_MKC_d3;2400;ASH_COATED_OSMIUM;10066;5;10063;20;;;10072;18;10074;13;;;10069.0;0.0
yf_MKC_d3;2400;INTARIAN_PEPPER_ROOT;11417;13;11414;24;;;11423;17;11427;10;;;11420.0;0.0
yf_MKC_d3;2500;ASH_COATED_OSMIUM;10066;14;10063;27;;;10072;17;10076;10;;;10069.0;0.0
yf_MKC_d3;2500;INTARIAN_PEPPER_ROOT;11416;13;11414;22;;;11423;13;11426;18;;;11419.5;0.0
yf_MKC_d3;2600;ASH_COATED_OSMIUM;10066;14;10062;17;;;10072;13;10074;19;;;10069.0;0.0
yf_MKC_d3;2600;INTARIAN_PEPPER_ROOT;11416;14;11412;22;;;11423;17;11425;15;;;11419.5;0.0
yf_MKC_d3;2700;ASH_COATED_OSMIUM;10059;20;10055;26;;;10079;11;10081;25;;;10069.0;0.0
yf_MKC_d3;2700;INTARIAN_PEPPER_ROOT;11416;10;11414;19;;;11422;11;11426;20;;;11419.0;0.0
yf_MKC_d3;2800;ASH_COATED_OSMIUM;10066;12;10062;22;;;10072;19;10074;21;;;10069.0;0.0
yf_MKC_d3;2800;INTARIAN_PEPPER_ROOT;11415;14;11412;17;;;11421;5;11423;24;;;11418.0;0.0
yf_MKC_d3;2900;ASH_COATED_OSMIUM;10066;12;10063;16;;;10072;16;10076;10;;;10069.0;0.0
yf_MKC_d3;2900;INTARIAN_PEPPER_ROOT;11416;11;11412;10;;;11422;17;11425;15;;;11419.0;0.0
yf_MKC_d3;3000;ASH_COATED_OSMIUM;10063;26;10061;14;;;10075;22;10078;16;;;10069.0;0.0
yf_MKC_d3;3000;INTARIAN_PEPPER_ROOT;11415;17;11413;20;;;11421;22;11424;20;;;11418.0;0.0
yf_MKC_d3;3100;ASH_COATED_OSMIUM;10066;15;10063;24;;;10072;13;10074;14;;;10069.0;0.0
yf_MKC_d3;3100;INTARIAN_PEPPER_ROOT;11413;5;11409;23;;;11422;11;11424;18;;;11417.5;0.0
yf_MKC_d3;3200;ASH_COATED_OSMIUM;10066;23;10063;21;;;10072;21;10074;20;;;10069.0;0.0
yf_MKC_d3;3200;INTARIAN_PEPPER_ROOT;11406;18;11403;18;;;11431;17;11434;16;;;11418.5;0.0
yf_MKC_d3;3300;ASH_COATED_OSMIUM;10067;16;10064;23;;;10073;16;10075;24;;;10070.0;0.0
yf_MKC_d3;3300;INTARIAN_PEPPER_ROOT;11414;20;11411;21;;;11420;19;11422;23;;;11417.0;0.0
yf_MKC_d3;3400;ASH_COATED_OSMIUM;10061;9;10057;11;;;10078;5;10080;8;;;10069.5;0.0
