day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
bull_normal_s1;0;INTARIAN_PEPPER_ROOT;9998;10;9996;15;;;10006;6;10010;24;;;10002.0;0.0
bull_normal_s1;0;ASH_COATED_OSMIUM;9998;7;9994;21;;;10002;12;10004;16;;;10000.0;0.0
bull_normal_s1;100;INTARIAN_PEPPER_ROOT;9991;19;9989;20;;;10013;14;10017;26;;;10002.0;0.0
bull_normal_s1;100;ASH_COATED_OSMIUM;9980;19;9976;28;;;10016;11;10018;27;;;9998.0;0.0
bull_normal_s1;200;INTARIAN_PEPPER_ROOT;9994;14;9991;22;;;10008;19;10012;21;;;10001.0;0.0
bull_normal_s1;200;ASH_COATED_OSMIUM;9988;6;9985;33;;;10012;13;10016;10;;;10000.0;0.0
bull_normal_s1;300;INTARIAN_PEPPER_ROOT;9997;12;9993;21;;;10001;24;10004;21;;;9999.0;0.0
bull_normal_s1;300;ASH_COATED_OSMIUM;9995;26;9991;15;;;10003;18;10005;20;;;9999.0;0.0
bull_normal_s1;400;INTARIAN_PEPPER_ROOT;10001;13;9998;16;;;10003;15;10005;20;;;10002.0;0.0
bull_normal_s1;400;ASH_COATED_OSMIUM;9990;5;9988;14;;;10002;22;10005;29;;;9996.0;0.0
bull_normal_s1;500;INTARIAN_PEPPER_ROOT;9993;18;9989;20;;;10003;13;10006;20;;;9998.0;0.0
bull_normal_s1;500;ASH_COATED_OSMIUM;9984;13;9981;21;;;10008;8;10011;29;;;9996.0;0.0
bull_normal_s1;600;INTARIAN_PEPPER_ROOT;9995;19;9992;11;;;10009;14;10012;16;;;10002.0;0.0
bull_normal_s1;600;ASH_COATED_OSMIUM;9995;10;9991;21;;;9997;18;9999;25;;;9996.0;0.0
bull_normal_s1;700;INTARIAN_PEPPER_ROOT;9986;19;9984;19;;;10014;18;10016;18;;;10000.0;0.0
bull_normal_s1;700;ASH_COATED_OSMIUM;9972;17;9968;23;;;10024;5;10026;11;;;9998.0;0.0
bull_normal_s1;800;INTARIAN_PEPPER_ROOT;10000;5;9998;21;;;10002;12;10006;22;;;10001.0;0.0
bull_normal_s1;800;ASH_COATED_OSMIUM;9996;8;9992;15;;;9998;14;10000;21;;;9997.0;0.0
bull_normal_s1;900;INTARIAN_PEPPER_ROOT;10000;12;9997;10;;;10002;18;10004;22;;;10001.0;0.0
bull_normal_s1;900;ASH_COATED_OSMIUM;9987;7;9983;20;;;10005;13;10008;21;;;9996.0;0.0
bull_normal_s1;1000;INTARIAN_PEPPER_ROOT;10001;9;9997;12;;;10005;10;10008;13;;;10003.0;0.0
bull_normal_s1;1000;ASH_COATED_OSMIUM;9992;15;9990;19;;;10004;15;10008;27;;;9998.0;0.0
bull_normal_s1;1100;INTARIAN_PEPPER_ROOT;9989;12;9986;23;;;10013;5;10016;19;;;10001.0;0.0
bull_normal_s1;1100;ASH_COATED_OSMIUM;9995;19;9991;14;;;9999;19;10001;11;;;9997.0;0.0
bull_normal_s1;1200;INTARIAN_PEPPER_ROOT;9999;24;9995;23;;;10001;16;10004;26;;;10000.0;0.0
bull_normal_s1;1200;ASH_COATED_OSMIUM;9992;16;9989;18;;;10000;12;10003;13;;;9996.0;0.0
bull_normal_s1;1300;INTARIAN_PEPPER_ROOT;9999;17;9996;20;;;10001;23;10003;20;;;10000.0;0.0
bull_normal_s1;1300;ASH_COATED_OSMIUM;9988;9;9984;13;;;10002;18;10006;18;;;9995.0;0.0
bull_normal_s1;1400;INTARIAN_PEPPER_ROOT;10001;12;9997;26;;;10003;9;10007;15;;;10002.0;0.0
bull_normal_s1;1400;ASH_COATED_OSMIUM;9992;7;9989;12;;;9994;8;9998;25;;;9993.0;0.0
bull_normal_s1;1500;INTARIAN_PEPPER_ROOT;9999;18;9996;20;;;10001;15;10003;15;;;10000.0;0.0
bull_normal_s1;1500;ASH_COATED_OSMIUM;9995;12;9991;15;;;9997;17;9999;18;;;9996.0;0.0
bull_normal_s1;1600;INTARIAN_PEPPER_ROOT;9998;10;9996;13;;;10004;14;10008;23;;;10001.0;0.0
bull_normal_s1;1600;ASH_COATED_OSMIUM;9968;5;9966;14;;;10020;11;10023;19;;;9994.0;0.0
bull_normal_s1;1700;INTARIAN_PEPPER_ROOT;9993;13;9989;25;;;10005;27;10008;31;;;9999.0;0.0
bull_normal_s1;1700;ASH_COATED_OSMIUM;9985;15;9981;17;;;10005;17;10008;14;;;9995.0;0.0
bull_normal_s1;1800;INTARIAN_PEPPER_ROOT;9999;17;9997;22;;;10001;11;10004;18;;;10000.0;0.0
bull_normal_s1;1800;ASH_COATED_OSMIUM;9990;14;9988;32;;;10000;14;10003;18;;;9995.0;0.0
bull_normal_s1;1900;INTARIAN_PEPPER_ROOT;9977;12;9973;22;;;10025;12;10027;18;;;10001.0;0.0
bull_normal_s1;1900;ASH_COATED_OSMIUM;9989;8;9985;24;;;9997;10;10001;23;;;9993.0;0.0
bull_normal_s1;2000;INTARIAN_PEPPER_ROOT;9999;17;9996;19;;;10001;16;10003;28;;;10000.0;0.0
bull_normal_s1;2000;ASH_COATED_OSMIUM;9993;12;9989;16;;;9999;9;10003;17;;;9996.0;0.0
bull_normal_s1;2100;INTARIAN_PEPPER_ROOT;9992;10;9988;27;;;10012;12;10016;16;;;10002.0;0.0
bull_normal_s1;2100;ASH_COATED_OSMIUM;9970;18;9967;19;;;10026;14;10028;20;;;9998.0;0.0
bull_normal_s1;2200;INTARIAN_PEPPER_ROOT;9998;10;9996;24;;;10008;15;10010;19;;;10003.0;0.0
