day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
v_recovery_drift_s1;0;INTARIAN_PEPPER_ROOT;12499;14;12495;17;;;12505;16;12507;26;;;12502.0;0.0
v_recovery_drift_s1;0;ASH_COATED_OSMIUM;9997;12;9993;16;;;10001;14;10003;25;;;9999.0;0.0
v_recovery_drift_s1;100;INTARIAN_PEPPER_ROOT;12500;20;12498;19;;;12502;19;12506;20;;;12501.0;0.0
v_recovery_drift_s1;100;ASH_COATED_OSMIUM;9995;17;9991;16;;;10005;12;10008;25;;;10000.0;0.0
v_recovery_drift_s1;200;INTARIAN_PEPPER_ROOT;12493;9;12490;24;;;12507;14;12511;22;;;12500.0;0.0
v_recovery_drift_s1;200;ASH_COATED_OSMIUM;9998;19;9996;20;;;10000;15;10002;33;;;9999.0;0.0
v_recovery_drift_s1;300;INTARIAN_PEPPER_ROOT;12496;16;12494;28;;;12498;13;12500;17;;;12497.0;0.0
v_recovery_drift_s1;300;ASH_COATED_OSMIUM;9982;17;9978;8;;;10014;14;10017;27;;;9998.0;0.0
v_recovery_drift_s1;400;INTARIAN_PEPPER_ROOT;12487;10;12484;20;;;12509;7;12511;16;;;12498.0;0.0
v_recovery_drift_s1;400;ASH_COATED_OSMIUM;9991;12;9988;29;;;10003;10;10006;14;;;9997.0;0.0
v_recovery_drift_s1;500;INTARIAN_PEPPER_ROOT;12492;9;12489;15;;;12494;15;12497;23;;;12493.0;0.0
v_recovery_drift_s1;500;ASH_COATED_OSMIUM;9986;19;9982;27;;;10008;11;10012;20;;;9997.0;0.0
v_recovery_drift_s1;600;INTARIAN_PEPPER_ROOT;12490;16;12487;11;;;12500;28;12503;24;;;12495.0;0.0
v_recovery_drift_s1;600;ASH_COATED_OSMIUM;9992;5;9990;25;;;10006;8;10009;21;;;9999.0;0.0
v_recovery_drift_s1;700;INTARIAN_PEPPER_ROOT;12491;17;12489;21;;;12495;18;12499;24;;;12493.0;0.0
v_recovery_drift_s1;700;ASH_COATED_OSMIUM;9996;24;9994;12;;;10000;12;10004;23;;;9998.0;0.0
v_recovery_drift_s1;800;INTARIAN_PEPPER_ROOT;12492;18;12490;17;;;12494;5;12498;21;;;12493.0;0.0
v_recovery_drift_s1;800;ASH_COATED_OSMIUM;9978;11;9976;21;;;10018;15;10020;15;;;9998.0;0.0
v_recovery_drift_s1;900;INTARIAN_PEPPER_ROOT;12491;18;12488;23;;;12493;12;12495;10;;;12492.0;0.0
v_recovery_drift_s1;900;ASH_COATED_OSMIUM;9987;12;9984;20;;;10011;8;10015;20;;;9999.0;0.0
v_recovery_drift_s1;1000;INTARIAN_PEPPER_ROOT;12493;18;12491;26;;;12497;10;12499;19;;;12495.0;0.0
v_recovery_drift_s1;1000;ASH_COATED_OSMIUM;9994;19;9992;22;;;10000;5;10003;19;;;9997.0;0.0
v_recovery_drift_s1;1100;INTARIAN_PEPPER_ROOT;12484;11;12482;22;;;12496;18;12499;35;;;12490.0;0.0
v_recovery_drift_s1;1100;ASH_COATED_OSMIUM;9980;11;9976;21;;;10014;7;10018;22;;;9997.0;0.0
v_recovery_drift_s1;1200;INTARIAN_PEPPER_ROOT;12486;10;12483;12;;;12490;12;12492;29;;;12488.0;0.0
v_recovery_drift_s1;1200;ASH_COATED_OSMIUM;9985;20;9982;26;;;10007;11;10011;24;;;9996.0;0.0
v_recovery_drift_s1;1300;INTARIAN_PEPPER_ROOT;12486;7;12483;12;;;12488;16;12491;17;;;12487.0;0.0
