name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count,rt_wins,rt_losses,rt_pushes,trade_win_rate,avg_win,avg_loss,profit_factor
imc_round_2_day_-1,imc,75732.0,3878.0,71854.0,1066224.0,0.0022957298854035984,0.0023933937212708965,0.07102822671408635,220,187,6,3,0.9689119170984456,404.7807486631016,-9.5,1327.9649122807018
imc_round_2_day_0,imc,77550.0,5603.0,71947.0,1807160.0,0.0020617444448713723,0.0021770257089695115,0.042912636401868126,231,196,0,0,1.0,395.15816326530614,0.0,inf
imc_round_2_day_1,imc,74954.0,3935.0,71019.0,1186285.0,0.0019329064284604675,0.0020317324589199173,0.06318380490354342,213,167,16,4,0.912568306010929,450.47904191616766,-12.6875,370.5911330049261
av_COFFEE_d0,real,770.0,770.0,0.0,8960.0,0.28117115024911177,0.5758082777277926,0.0859375,22,13,0,0,1.0,565.6923076923077,0.0,inf
av_COFFEE_d3,real,1972.0,1972.0,0.0,10320.0,0.45380903435914244,0.931926286240614,0.19108527131782946,18,11,0,0,1.0,434.09090909090907,0.0,inf
av_COFFEE_d8,real,12603.0,12603.0,0.0,6560.0,2.731250176355508,5.344602636493575,1.9211890243902439,48,38,0,0,1.0,414.07894736842104,0.0,inf
av_CORN_d11,real,2017.0,2017.0,0.0,9402.0,0.4688889625785848,0.9577545324403844,0.2145288236545416,30,25,0,0,1.0,177.72,0.0,inf
av_CORN_d6,real,11519.0,11519.0,0.0,6354.0,2.5110621235691113,5.068429219419928,1.8128737802958765,28,23,0,0,1.0,434.2608695652174,0.0,inf
av_COTTON_d1,real,2787.0,2787.0,0.0,6681.0,0.6520737318278172,1.1578997376161146,0.41715312079030087,40,33,0,0,1.0,269.54545454545456,0.0,inf
av_COTTON_d4,real,-2414.0,-2414.0,0.0,10592.0,-0.4426817268051393,-0.8669664895384687,-0.22790785498489427,21,16,0,0,1.0,292.25,0.0,inf
av_COTTON_d9,real,14732.0,14732.0,0.0,6081.5,3.140882515658169,6.422447635708845,2.422428677135575,28,23,0,0,1.0,558.7826086956521,0.0,inf
av_SUGAR_d2,real,4096.0,4096.0,0.0,6097.0,0.9406270876428997,1.8638134478150006,0.6718058061341643,20,12,0,0,1.0,669.8333333333334,0.0,inf
av_SUGAR_d7,real,2454.0,2454.0,0.0,6139.0,0.6885734746419191,1.325471000460743,0.3997393712330998,18,12,0,0,1.0,707.0833333333334,0.0,inf
av_WHEAT_d10,real,19642.0,19642.0,0.0,6304.0,4.193958586598124,8.295892669007962,3.115799492385787,74,64,0,0,1.0,324.015625,0.0,inf
av_WHEAT_d5,real,8730.0,8730.0,0.0,7377.0,2.1510936272196464,3.589631517417976,1.1834078893859292,32,29,0,0,1.0,297.1034482758621,0.0,inf
yf_ADM_d0,real,510.0,510.0,0.0,8840.0,0.17785098524960782,0.3263065690649799,0.057692307692307696,21,15,0,0,1.0,488.3333333333333,0.0,inf
yf_ADM_d13,real,-2414.0,-2414.0,0.0,10592.0,-0.4426817268051393,-0.8669664895384687,-0.22790785498489427,21,16,0,0,1.0,292.25,0.0,inf
yf_ADM_d5,real,5720.0,5720.0,0.0,7477.0,1.2630797590870944,2.597834861449007,0.7650127056306005,23,16,0,0,1.0,469.25,0.0,inf
yf_BGS_d0,real,770.0,770.0,0.0,8960.0,0.28117115024911177,0.5758082777277926,0.0859375,22,13,0,0,1.0,565.6923076923077,0.0,inf
yf_BGS_d13,real,17734.0,17734.0,0.0,6083.0,3.8617040843278994,7.4893200030331455,2.915337826730232,70,60,0,0,1.0,321.25,0.0,inf
yf_BGS_d5,real,5809.0,5809.0,0.0,6653.0,1.311209203711057,2.587428783843806,0.8731399368705847,19,11,0,0,1.0,647.0909090909091,0.0,inf
yf_MKC_d0,real,16776.0,16776.0,0.0,6164.0,3.8233262026213266,6.776341496922454,2.7216093445814407,59,53,0,0,1.0,376.77358490566036,0.0,inf
yf_MKC_d13,real,19642.0,19642.0,0.0,6304.0,4.193958586598124,8.295892669007962,3.115799492385787,74,64,0,0,1.0,324.015625,0.0,inf
yf_MKC_d5,real,12504.0,12504.0,0.0,7144.0,2.7581740518484597,5.249916584532458,1.7502799552071668,47,39,0,0,1.0,355.1794871794872,0.0,inf
yf_ZC_F_d0,real,10634.0,10634.0,0.0,8080.0,2.208836108968413,4.43090490758519,1.316089108910891,54,44,0,0,1.0,324.54545454545456,0.0,inf
yf_ZC_F_d13,real,-2923.0,-2923.0,0.0,8744.0,-0.5165348234328176,-0.9805851202165964,-0.3342863677950595,18,10,0,0,1.0,571.3,0.0,inf
yf_ZC_F_d5,real,2766.0,2766.0,0.0,6840.0,0.6218787189165291,1.29153712257085,0.4043859649122807,23,16,0,0,1.0,526.25,0.0,inf
yf_ZS_F_d0,real,12663.0,12663.0,0.0,6248.0,2.9028276920928997,5.051036482962344,2.026728553137004,43,36,0,0,1.0,321.8888888888889,0.0,inf
yf_ZS_F_d13,real,6435.0,6435.0,0.0,7852.0,1.4367624302804916,2.7373641164060833,0.8195364238410596,32,26,0,0,1.0,364.7692307692308,0.0,inf
yf_ZS_F_d5,real,2291.0,2291.0,0.0,11487.0,0.5359171205521591,1.0429759669424565,0.19944284843736398,45,10,23,0,0.30303030303030304,431.2,-36.65217391304348,5.115065243179123
yf_ZW_F_d0,real,11583.0,11583.0,0.0,8496.0,2.340450471412541,4.644486696662166,1.3633474576271187,61,50,0,0,1.0,315.98,0.0,inf
yf_ZW_F_d13,real,5835.0,5835.0,0.0,7450.0,1.4185597082801449,2.8841912925988704,0.7832214765100671,23,16,0,0,1.0,441.8125,0.0,inf
yf_ZW_F_d5,real,4096.0,4096.0,0.0,6097.0,0.9406270876428997,1.8638134478150006,0.6718058061341643,20,12,0,0,1.0,669.8333333333334,0.0,inf
bear_normal_s0,scenario,100958.0,102074.0,-1116.0,2107.0,8.841232198226226,12.506274444815865,47.91551969625059,2257,1777,307,80,0.8526871401151631,62.899831176139564,-35.80456026058632,10.168577147016011
bear_volatile_s0,scenario,188954.0,190070.0,-1116.0,7060.0,6.298418163726964,7.913079054310761,26.76402266288952,2861,2206,449,65,0.8308851224105461,94.8912058023572,-45.55233853006681,10.234684398376766
bull_normal_s0,scenario,292391.0,102074.0,190317.0,2852.0,17.70391344830328,29.28887913892288,102.52138849929874,2283,1813,294,80,0.8604651162790697,166.62437948152234,-33.59183673469388,30.588294856217093
crash_normal_s0,scenario,223334.0,102074.0,121260.0,2556.0,14.80244636842759,22.772757799353826,87.37636932707355,2278,1806,294,80,0.86,129.03266888150608,-33.59183673469388,23.595889023896316
crash_volatile_s0,scenario,311330.0,190070.0,121260.0,7060.0,9.864990651806993,12.853148608605467,44.09773371104816,2882,2235,436,65,0.8367652564582553,147.91498881431767,-44.35091743119266,17.09624036820603
high_vol_volatile_s0,scenario,454296.0,190070.0,264226.0,11286.0,13.020313370805335,18.3716943846826,40.25305688463583,3090,2345,502,65,0.8236740428521251,209.21066098081025,-72.47011952191235,13.485404068169323
sawtooth_normal_s0,scenario,409380.0,96017.0,313363.0,3366.0,26.433799748684844,44.352669952728256,121.62210338680927,2315,1775,358,75,0.8321612751992499,236.80788732394367,-31.10335195530726,37.74889986528963
sawtooth_volatile_s0,scenario,488870.0,175507.0,313363.0,8407.0,15.601914269364277,20.379072405037366,58.15035089806114,2875,2185,494,56,0.8156028368794326,232.56155606407322,-39.25708502024292,26.20259887588305
sideways_drift_s0,scenario,199222.0,-10353.0,209575.0,14923.0,11.497919209258162,20.658946406985454,13.349996649467265,415,231,130,19,0.6398891966759003,962.1688311688312,-54.54615384615385,31.344098152587787
sideways_normal_s0,scenario,313577.0,102074.0,211503.0,3033.0,23.483473907295995,37.55240674473839,103.38839432904714,2389,1855,346,80,0.8427987278509769,177.12614555256064,-43.84104046242775,21.660557716395278
spike_crash_volatile_s0,scenario,373783.0,190070.0,183713.0,7060.0,11.748032102374218,15.328677843914779,52.943767705382434,2861,2217,436,65,0.8356577459479834,177.28597203428055,-44.35091743119266,20.325955422247503
v_recovery_drift_s0,scenario,-10599.0,-10353.0,-246.0,16660.0,-0.6651178462362498,-1.133126489603202,-0.6361944777911165,296,147,107,19,0.5787401574803149,64.15646258503402,-38.149532710280376,2.310387065164136
v_recovery_normal_s0,scenario,101047.0,102074.0,-1027.0,2107.0,8.86198487268942,12.60723541671929,47.9577598481253,2256,1777,306,80,0.8530964954392702,62.899831176139564,-35.630718954248366,10.251582133357791
