name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
bear_normal_s0,scenario,4288.0,7417.0,-3129.0,6013.0,0.7165619204104763,0.34328610692262795,0.7131215699318144,253
bear_normal_s1,scenario,36282.0,40028.0,-3746.0,4239.0,3.096752333025314,2.813280355588007,8.559094125973107,841
bear_normal_s2,scenario,38129.0,41298.0,-3169.0,3026.0,3.2422270627554366,2.792926059029098,12.600462656972901,837
bear_volatile_s0,scenario,1740.0,4869.0,-3129.0,6907.0,0.2835643644890174,0.13388501436136144,0.25191834370928046,238
bear_volatile_s1,scenario,18657.0,22403.0,-3746.0,4267.0,1.7804841980359631,1.3442469077682917,4.372392781813921,546
bear_volatile_s2,scenario,8816.0,11985.0,-3169.0,5520.0,1.2405502855598631,0.6625228652603087,1.5971014492753624,320
bull_normal_s0,scenario,92924.0,7417.0,85507.0,3134.0,11.233571580789517,14.794556273375528,29.650287172941926,712
bull_normal_s1,scenario,145106.0,40028.0,105078.0,4159.0,11.099782876198514,14.337039762517453,34.8896369319548,1200
bull_normal_s2,scenario,126657.0,41298.0,85359.0,3162.0,9.67991009985553,12.108727744565314,40.05597722960152,1311
crash_normal_s0,scenario,61791.0,7417.0,54374.0,4427.0,7.1274213400142825,8.614903522618416,13.957759204879151,788
crash_normal_s1,scenario,121778.0,40028.0,81750.0,3999.0,9.023701352348084,11.530739069473194,30.452113028257063,1279
crash_normal_s2,scenario,99999.0,41298.0,58701.0,3149.0,7.741644777836616,7.809931499471085,31.755795490631947,1029
crash_volatile_s0,scenario,59243.0,4869.0,54374.0,4427.0,6.762914058721569,7.9956206856049175,13.382200135531964,773
crash_volatile_s1,scenario,104153.0,22403.0,81750.0,4427.0,8.372107611853544,10.197961106118528,23.52676756268353,984
crash_volatile_s2,scenario,70686.0,11985.0,58701.0,3049.0,8.039266931338576,7.474759096923183,23.183338799606428,512
high_vol_volatile_s0,scenario,21119.0,4869.0,16250.0,5220.0,2.98813495280995,1.4795941343384365,4.0457854406130265,174
high_vol_volatile_s1,scenario,45053.0,22403.0,22650.0,4780.0,4.054215068039528,3.234313321784678,9.425313807531381,452
high_vol_volatile_s2,scenario,34353.0,11985.0,22368.0,3725.0,4.304068516341282,2.3968547287215665,9.22228187919463,234
sawtooth_normal_s0,scenario,168950.0,5539.0,163411.0,3036.0,20.867513714738273,22.686616431864625,55.648880105401844,216
sawtooth_normal_s1,scenario,180610.0,40106.0,140504.0,3892.0,14.122014249554834,16.504247003145352,46.4054470709147,834
sawtooth_normal_s2,scenario,196693.0,40569.0,156124.0,2662.0,15.186195526978787,17.458941193660767,73.88918106686701,789
sawtooth_volatile_s0,scenario,169012.0,5601.0,163411.0,2623.0,20.66950140443519,22.422203506247868,64.43461685093405,205
sawtooth_volatile_s1,scenario,167771.0,27267.0,140504.0,3564.0,13.950646442842283,14.840443209867615,47.073793490460154,587
sawtooth_volatile_s2,scenario,167364.0,11240.0,156124.0,1919.0,18.197995442649038,18.94469661164879,87.21417404898385,266
sideways_drift_s0,scenario,263573.0,-3041.0,266614.0,1103.0,49.59808943486879,65.90175480987291,238.96010879419765,126
sideways_drift_s1,scenario,272347.0,-922.0,273269.0,1074.0,49.403104635381005,71.9760365604365,253.58193668528864,155
sideways_drift_s2,scenario,265641.0,-2854.0,268495.0,2190.0,46.57920882242721,57.108781665277924,121.2972602739726,166
sideways_normal_s0,scenario,273690.0,7417.0,266273.0,3296.0,35.177257635317986,28.52555644196961,83.0370145631068,293
sideways_normal_s1,scenario,313178.0,40028.0,273150.0,2028.0,24.683277948631574,26.09675976054132,154.42702169625247,840
sideways_normal_s2,scenario,309138.0,41298.0,267840.0,2042.0,24.20638782514737,24.201158104951734,151.3898139079334,872
spike_crash_volatile_s0,scenario,93261.0,4869.0,88392.0,3106.0,11.578273795247881,8.851375299399262,30.02607855763039,197
spike_crash_volatile_s1,scenario,131696.0,22403.0,109293.0,4107.0,10.367142118697751,11.384286933587324,32.066228390552716,736
spike_crash_volatile_s2,scenario,104277.0,11985.0,92292.0,3054.0,11.105569231312167,10.444948783129407,34.144400785854614,402
v_recovery_drift_s0,scenario,-6005.0,-3041.0,-2964.0,6173.0,-3.141246954932425,-0.7853985142946643,-0.9727847075976025,64
v_recovery_drift_s1,scenario,-3858.0,-922.0,-2936.0,5850.0,-1.8162780113950683,-0.47834102011757673,-0.6594871794871795,97
v_recovery_drift_s2,scenario,-6563.0,-2854.0,-3709.0,7688.0,-2.3780141713745615,-0.7079569535072947,-0.8536680541103018,74
v_recovery_normal_s0,scenario,4482.0,7417.0,-2935.0,5105.0,0.750734464427394,0.3524704267672931,0.8779627815866797,221
v_recovery_normal_s1,scenario,36836.0,40028.0,-3192.0,4239.0,3.1473554029765083,2.860026625487486,8.689785326728002,786
v_recovery_normal_s2,scenario,37879.0,41298.0,-3419.0,4063.0,3.2218240394166413,2.7872465189393116,9.322914102879645,799
