name,category,final_pnl,max_drawdown,sharpe,trade_count,pnl_INTARIAN_PEPPER_ROOT,pnl_ASH_COATED_OSMIUM
imc_r1_round_1_day_-1,round_1,361930.0,1028.0,22.314936329931303,36174,79607.0,282323.0
imc_r1_round_1_day_-2,round_1,322034.0,1024.0,20.68400288954013,35038,79894.0,242140.0
imc_r1_round_1_day_0,round_1,328066.0,1280.0,18.893681009650503,33486,80090.0,247976.0
imc_r2_round_2_day_-1,round_2,360271.0,934.0,22.75421550228315,36192,79744.0,280527.0
imc_r2_round_2_day_0,round_2,329342.0,1168.0,19.463209125964184,33610,80108.0,249234.0
imc_r2_round_2_day_1,round_2,344437.0,1222.0,19.13504844049099,35766,80132.0,264305.0
real_av_COFFEE_d0,real_world,254943.0,19960.0,24.180585774462035,3142,237101.0,17842.0
real_av_COFFEE_d3,real_world,286569.0,10560.0,31.96195707544246,5373,252960.0,33609.0
real_av_COFFEE_d8,real_world,7959.0,7136.0,1.7375259872588409,826,-434.0,8393.0
real_av_CORN_d11,real_world,317820.0,15438.0,35.30681574390851,816,316040.0,1780.0
real_av_CORN_d6,real_world,504210.0,19640.0,47.040983880271426,1617,489901.0,14309.0
real_av_COTTON_d1,real_world,134474.0,20881.0,16.789092574622845,1608,131156.0,3318.0
real_av_COTTON_d4,real_world,382837.0,9403.0,42.36049876489926,1626,372868.0,9969.0
real_av_COTTON_d9,real_world,245282.0,7486.0,31.72393579902703,3537,217379.0,27903.0
real_av_SUGAR_d2,real_world,397718.0,17964.0,40.910158596704235,3440,380276.0,17442.0
real_av_SUGAR_d7,real_world,543828.0,13087.0,40.70703401783413,574,542716.0,1112.0
real_av_WHEAT_d10,real_world,445700.0,12100.0,46.671748541893486,2265,433743.0,11957.0
real_av_WHEAT_d5,real_world,320625.0,14436.0,34.966267768787276,4455,292460.0,28165.0
real_yf_ADM_d0,real_world,752972.0,10680.0,53.039452122882935,3293,735816.0,17156.0
real_yf_ADM_d13,real_world,318262.0,33341.0,33.160864602934105,1628,308293.0,9969.0
real_yf_ADM_d5,real_world,285973.0,27154.0,32.597872776922515,3126,266129.0,19844.0
real_yf_BGS_d0,real_world,188578.0,26160.0,20.412783990706917,3207,170736.0,17842.0
real_yf_BGS_d13,real_world,671246.0,9299.5,34.636640067323334,2559,659235.0,12011.0
real_yf_BGS_d5,real_world,371993.0,11880.0,35.79894809568576,2544,355482.0,16511.0
real_yf_MKC_d0,real_world,459261.0,24185.0,40.86355719242946,3557,442884.0,16377.0
real_yf_MKC_d13,real_world,593782.0,7160.0,50.92743299029812,2501,581825.0,11957.0
real_yf_MKC_d5,real_world,441688.0,22280.0,39.63746103604564,3300,419754.0,21934.0
real_yf_ZC_F_d0,real_world,377581.0,10876.0,38.9782131499169,2500,367312.0,10269.0
real_yf_ZC_F_d13,real_world,659142.0,13105.0,49.56841709643501,3062,646421.0,12721.0
real_yf_ZC_F_d5,real_world,394907.0,19850.0,41.33331778933988,3477,379580.0,15327.0
real_yf_ZS_F_d0,real_world,603728.0,15444.0,49.54645121086744,1950,592116.0,11612.0
real_yf_ZS_F_d13,real_world,266446.0,12587.0,26.935766600339456,5514,240310.0,26136.0
real_yf_ZS_F_d5,real_world,247418.0,5855.0,27.346278176276527,1642,233921.0,13497.0
real_yf_ZW_F_d0,real_world,367631.0,16561.5,36.74499982957411,2989,353954.0,13677.0
real_yf_ZW_F_d13,real_world,611222.0,10280.0,46.61460457099692,1250,600433.0,10789.0
real_yf_ZW_F_d5,real_world,677437.0,8270.0,48.50616477807235,3580,659995.0,17442.0
scen_bear_normal_s0,scenario,254138.0,3429.0,11.627281755294193,24931,-58524.0,312662.0
scen_bear_volatile_s0,scenario,270495.0,7928.0,7.205323893474252,18812,-58524.0,329019.0
scen_bull_normal_s0,scenario,527669.0,2649.0,21.270779959022438,23975,215007.0,312662.0
scen_crash_normal_s0,scenario,467319.0,3583.0,17.7882419358984,24308,154657.0,312662.0
scen_crash_volatile_s0,scenario,483676.0,7928.0,12.019364073634657,18189,154657.0,329019.0
scen_high_vol_volatile_s0,scenario,3605675.0,14888.0,49.54922522690541,19913,3276656.0,329019.0
scen_sawtooth_normal_s0,scenario,637742.0,3973.0,26.589619903149032,24028,327101.0,310641.0
scen_sawtooth_volatile_s0,scenario,662583.0,10328.0,17.019895911956013,17818,327101.0,335482.0
scen_sideways_drift_s0,scenario,522661.0,11370.0,26.19897236605358,2548,508188.0,14473.0
scen_sideways_normal_s0,scenario,822154.0,5338.0,34.41951317116834,24264,509492.0,312662.0
scen_spike_crash_volatile_s0,scenario,549615.0,7790.0,13.259657849787834,18622,220596.0,329019.0
scen_v_recovery_drift_s0,scenario,227475.0,19842.0,10.86184945763706,2563,213002.0,14473.0
scen_v_recovery_normal_s0,scenario,526098.0,4632.0,21.24551754552956,24349,213436.0,312662.0
