day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;VEV_5200;102;21;0;0;0;0;106;21;0;0;0;0;104.0;0.0
2;0;VEV_5300;52;20;0;0;0;0;54;20;0;0;0;0;53.0;0.0
2;0;VEV_5000;267;7;266;14;0;0;273;7;274;14;0;0;270.0;0.0
2;0;VEV_4000;1257;15;1254;27;0;0;1278;15;1280;27;0;0;1267.5;0.0
2;0;VEV_5100;177;7;176;14;0;0;181;7;182;14;0;0;179.0;0.0
2;0;VEV_4500;759;7;757;14;0;0;775;7;777;14;0;0;767.0;0.0
2;0;VEV_5400;16;20;0;0;0;0;18;20;0;0;0;0;17.0;0.0
2;0;VEV_6500;0;18;0;0;0;0;1;18;0;0;0;0;0.5;0.0
2;0;VEV_5500;6;20;0;0;0;0;7;20;0;0;0;0;6.5;0.0
2;0;HYDROGEL_PACK;10003;13;10001;21;0;0;10019;13;10022;21;0;0;10011.0;0.0
2;0;VELVETFRUIT_EXTRACT;5265;25;5264;35;0;0;5270;60;0;0;0;0;5267.5;0.0
2;0;VEV_6000;0;20;0;0;0;0;1;20;0;0;0;0;0.5;0.0
2;100;VEV_4500;757;10;756;14;0;0;774;10;776;14;0;0;765.5;0.0
2;100;VEV_5400;16;25;0;0;0;0;18;25;0;0;0;0;17.0;0.0
2;100;VEV_6500;0;17;0;0;0;0;1;17;0;0;0;0;0.5;0.0
2;100;VEV_5500;6;25;0;0;0;0;7;25;0;0;0;0;6.5;0.0
2;100;VELVETFRUIT_EXTRACT;5263;69;0;0;0;0;5268;22;5269;47;0;0;5265.5;0.0
2;100;VEV_6000;0;25;0;0;0;0;1;25;0;0;0;0;0.5;0.0
2;100;VEV_5200;101;24;0;0;0;0;105;24;0;0;0;0;103.0;0.0
2;100;VEV_5300;51;25;0;0;0;0;53;6;54;19;0;0;52.0;0.0
2;100;VEV_5000;265;24;0;0;0;0;272;24;0;0;0;0;268.5;0.0
2;100;HYDROGEL_PACK;10004;15;10001;26;0;0;10020;15;10023;26;0;0;10012.0;0.0
2;100;VEV_4000;1255;12;1252;20;0;0;1276;12;1279;20;0;0;1265.5;0.0
2;100;VEV_5100;175;24;0;0;0;0;180;24;0;0;0;0;177.5;0.0
2;200;HYDROGEL_PACK;10004;15;10002;30;0;0;10020;15;10023;30;0;0;10012.0;0.0
2;200;VELVETFRUIT_EXTRACT;5263;67;0;0;0;0;5268;22;5269;45;0;0;5265.5;0.0
2;200;VEV_6000;0;19;0;0;0;0;1;19;0;0;0;0;0.5;0.0
2;200;VEV_5200;102;8;101;15;0;0;105;23;0;0;0;0;103.5;0.0
2;200;VEV_5300;51;19;0;0;0;0;53;6;54;13;0;0;52.0;0.0
2;200;VEV_5000;266;8;265;15;0;0;272;8;273;15;0;0;269.0;0.0
2;200;VEV_4000;1255;10;1253;20;0;0;1276;10;1279;20;0;0;1265.5;0.0
2;200;VEV_5100;175;23;0;0;0;0;180;23;0;0;0;0;177.5;0.0
2;200;VEV_4500;758;8;756;15;0;0;774;8;776;15;0;0;766.0;0.0
2;200;VEV_5400;16;19;0;0;0;0;18;19;0;0;0;0;17.0;0.0
2;200;VEV_6500;0;18;0;0;0;0;1;18;0;0;0;0;0.5;0.0
2;200;VEV_5500;6;19;0;0;0;0;7;19;0;0;0;0;6.5;0.0
2;300;VEV_6000;0;25;0;0;0;0;1;25;0;0;0;0;0.5;0.0
2;300;VEV_5200;102;26;0;0;0;0;105;26;0;0;0;0;103.5;0.0
2;300;VEV_5300;51;25;0;0;0;0;54;25;0;0;0;0;52.5;0.0
2;300;VEV_5000;266;9;265;17;0;0;272;9;273;17;0;0;269.0;0.0
2;300;HYDROGEL_PACK;10005;12;10002;27;0;0;10021;12;10023;27;0;0;10013.0;0.0
2;300;VEV_4000;1256;10;1253;18;0;0;1277;10;1279;18;0;0;1266.5;0.0
2;300;VEV_5100;176;9;175;17;0;0;180;9;181;17;0;0;178.0;0.0
2;300;VEV_4500;758;9;756;17;0;0;774;9;776;17;0;0;766.0;0.0
2;300;VEV_5400;16;25;0;0;0;0;18;25;0;0;0;0;17.0;0.0
2;300;VEV_6500;0;13;0;0;0;0;1;13;0;0;0;0;0.5;0.0
2;300;VEV_5500;6;25;0;0;0;0;7;25;0;0;0;0;6.5;0.0
2;300;VELVETFRUIT_EXTRACT;5264;23;5263;44;0;0;5269;67;0;0;0;0;5266.5;0.0
2;400;VEV_5300;51;26;0;0;0;0;53;26;0;0;0;0;52.0;0.0
2;400;VEV_5200;101;22;0;0;0;0;104;22;0;0;0;0;102.5;0.0
2;400;VEV_5000;265;8;264;14;0;0;271;8;272;14;0;0;268.0;0.0
2;400;VEV_4000;1254;8;1252;30;0;0;1275;8;1278;30;0;0;1264.5;0.0
2;400;VEV_5100;175;8;174;14;0;0;179;22;0;0;0;0;177.0;0.0
2;400;VEV_4500;757;8;755;14;0;0;773;8;775;14;0;0;765.0;0.0
2;400;VEV_5500;6;26;0;0;0;0;7;26;0;0;0;0;6.5;0.0
2;400;VEV_5400;16;26;0;0;0;0;17;26;0;0;0;0;16.5;0.0
2;400;VEV_6500;0;20;0;0;0;0;1;20;0;0;0;0;0.5;0.0
2;400;HYDROGEL_PACK;10011;8;10003;12;10001;25;10019;12;10022;25;0;0;10015.0;0.0
2;400;VELVETFRUIT_EXTRACT;5262;53;0;0;0;0;5267;15;5268;38;0;0;5264.5;0.0
2;400;VEV_6000;0;26;0;0;0;0;1;26;0;0;0;0;0.5;0.0
2;500;VEV_4500;755;7;753;16;0;0;771;7;773;16;0;0;763.0;0.0
2;500;VEV_5500;6;19;0;0;0;0;7;19;0;0;0;0;6.5;0.0
2;500;VEV_5400;16;19;0;0;0;0;17;19;0;0;0;0;16.5;0.0
2;500;VEV_6500;0;17;0;0;0;0;1;17;0;0;0;0;0.5;0.0
2;500;VELVETFRUIT_EXTRACT;5261;19;5260;37;0;0;5266;56;0;0;0;0;5263.5;0.0
2;500;VEV_6000;0;19;0;0;0;0;1;19;0;0;0;0;0.5;0.0
2;500;VEV_5300;50;19;0;0;0;0;52;5;53;14;0;0;51.0;0.0
