day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;VELVETFRUIT_EXTRACT;5293;64;;;;;5298;22;5299.0;42.0;;;5295.5;0.0
3;0;VEV_4000;1285;9;1282.0;30.0;;;1307;9;1309.0;30.0;;;1296.0;0.0
3;0;VEV_5100;199;21;;;;;204;7;205.0;14.0;;;201.5;0.0
3;0;VEV_5200;118;7;117.0;14.0;;;121;21;;;;;119.5;0.0
3;0;VEV_5000;293;21;;;;;300;7;301.0;14.0;;;296.5;0.0
3;0;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
3;0;VEV_5500;6;21;;;;;8;21;;;;;7.0;0.0
3;0;HYDROGEL_PACK;10000;10;9998.0;25.0;;;10016;10;10019.0;25.0;;;10008.0;0.0
3;0;VEV_4500;787;7;785.0;14.0;;;804;7;806.0;14.0;;;795.5;0.0
3;0;VEV_6500;0;11;;;;;1;11;;;;;0.5;0.0
3;0;VEV_5300;57;21;;;;;59;7;60.0;14.0;;;58.0;0.0
3;0;VEV_5400;20;21;;;;;21;21;;;;;20.5;0.0
3;100;VELVETFRUIT_EXTRACT;5294;16;5293.0;37.0;;;5299;53;;;;;5296.5;0.0
3;100;HYDROGEL_PACK;10000;11;9997.0;28.0;;;10016;11;10018.0;28.0;;;10008.0;0.0
3;100;VEV_4000;1296;4;1285.0;8.0;1283.0;20.0;1307;8;1310.0;20.0;;;1301.5;0.0
3;100;VEV_5100;202;4;200.0;7.0;199.0;20.0;205;27;;;;;203.5;0.0
3;100;VEV_5200;119;4;118.0;27.0;;;121;7;122.0;20.0;;;120.0;0.0
3;100;VEV_5000;297;4;294.0;7.0;293.0;20.0;301;7;302.0;20.0;;;299.0;0.0
3;100;VEV_6000;0;22;;;;;1;18;;;;;0.5;0.0
3;100;VEV_5500;7;4;6.0;18.0;;;8;18;;;;;7.5;0.0
3;100;VEV_4500;796;4;788.0;7.0;786.0;20.0;805;7;807.0;20.0;;;800.5;0.0
3;100;VEV_6500;0;18;;;;;1;14;;;;;0.5;0.0
3;100;VEV_5300;58;4;57.0;18.0;;;60;18;;;;;59.0;0.0
3;100;VEV_5400;20;22;;;;;21;18;;;;;20.5;0.0
3;200;VEV_4000;1286;14;1283.0;25.0;;;1307;14;1310.0;25.0;;;1296.5;0.0
3;200;VEV_5100;200;6;199.0;14.0;;;205;6;206.0;14.0;;;202.5;0.0
3;200;VEV_5200;118;20;;;;;122;20;;;;;120.0;0.0
3;200;VEV_5000;294;20;;;;;301;6;302.0;14.0;;;297.5;0.0
3;200;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
3;200;VEV_5500;7;7;6.0;14.0;;;8;21;;;;;7.5;0.0
3;200;HYDROGEL_PACK;10000;10;9997.0;20.0;;;10016;10;10018.0;20.0;;;10008.0;0.0
3;200;VEV_4500;788;6;786.0;14.0;;;805;6;807.0;14.0;;;796.5;0.0
3;200;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
3;200;VEV_5300;57;21;;;;;60;21;;;;;58.5;0.0
3;200;VEV_5400;20;21;;;;;21;21;;;;;20.5;0.0
3;200;VELVETFRUIT_EXTRACT;5294;20;5293.0;42.0;;;5299;20;5300.0;42.0;;;5296.5;0.0
3;300;VEV_5500;6;27;;;;;8;27;;;;;7.0;0.0
3;300;VEV_4500;788;7;786.0;18.0;;;805;7;807.0;18.0;;;796.5;0.0
3;300;VEV_6500;0;19;;;;;1;19;;;;;0.5;0.0
3;300;VEV_5300;57;27;;;;;60;27;;;;;58.5;0.0
3;300;VEV_5400;20;27;;;;;21;27;;;;;20.5;0.0
3;300;VELVETFRUIT_EXTRACT;5294;23;5293.0;42.0;;;5299;23;5300.0;42.0;;;5296.5;0.0
3;300;HYDROGEL_PACK;9996;10;9994.0;20.0;;;10012;10;10015.0;20.0;;;10004.0;0.0
3;300;VEV_4000;1285;13;1283.0;22.0;;;1307;13;1310.0;22.0;;;1296.0;0.0
3;300;VEV_5100;200;7;199.0;18.0;;;205;25;;;;;202.5;0.0
3;300;VEV_5200;118;25;;;;;122;25;;;;;120.0;0.0
3;300;VEV_5000;294;7;293.0;18.0;;;301;7;302.0;18.0;;;297.5;0.0
3;300;VEV_6000;0;27;;;;;1;27;;;;;0.5;0.0
3;400;VELVETFRUIT_EXTRACT;5293;15;5292.0;47.0;;;5298;15;5299.0;47.0;;;5295.5;0.0
3;400;VEV_4000;1285;12;1282.0;21.0;;;1306;12;1309.0;21.0;;;1295.5;0.0
3;400;VEV_5200;117;24;;;;;121;24;;;;;119.0;0.0
3;400;VEV_5100;199;11;198.0;13.0;;;204;24;;;;;201.5;0.0
3;400;VEV_5000;293;11;292.0;13.0;;;300;11;301.0;13.0;;;296.5;0.0
3;400;VEV_6000;0;28;;;;;1;28;;;;;0.5;0.0
3;400;HYDROGEL_PACK;9995;11;9993.0;30.0;;;10011;11;10014.0;30.0;;;10003.0;0.0
3;400;VEV_4500;787;11;785.0;13.0;;;804;11;806.0;13.0;;;795.5;0.0
3;400;VEV_5500;6;28;;;;;8;28;;;;;7.0;0.0
3;400;VEV_5400;19;28;;;;;21;28;;;;;20.0;0.0
3;400;VEV_6500;0;15;;;;;1;15;;;;;0.5;0.0
3;400;VEV_5300;57;28;;;;;59;9;60.0;19.0;;;58.0;0.0
3;500;VELVETFRUIT_EXTRACT;5292;52;;;;;5297;16;5298.0;36.0;;;5294.5;0.0
3;500;HYDROGEL_PACK;9998;10;9995.0;22.0;;;10014;10;10016.0;22.0;;;10006.0;0.0
3;500;VEV_4000;1284;15;1281.0;27.0;;;1306;15;1308.0;27.0;;;1295.0;0.0
3;500;VEV_5200;117;26;;;;;120;8;121.0;18.0;;;118.5;0.0
3;500;VEV_5100;198;26;;;;;203;8;204.0;18.0;;;200.5;0.0
