pair,family,tight_rate,tight_count,mean_signal_ret_tight,total_signal_ret,pair_quality_score
TRANSLATOR_ASTRO_BLACK__TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,1.0,30000,2.1094529862995346,62973.5,12970.06797484487
MICROCHIP_OVAL__MICROCHIP_SQUARE,MICROCHIP,0.5511333333333334,16534,2.6387891694554306,43368.5,9018.518989768214
SLEEP_POD_NYLON__SLEEP_POD_POLYESTER,SLEEP_POD,1.0,30000,1.2086892439620809,36083.0,7435.951118110434
MICROCHIP_CIRCLE__MICROCHIP_OVAL,MICROCHIP,1.0,30000,1.196445918333166,35717.5,7360.730511906145
ROBOT_DISHES__ROBOT_VACUUMING,ROBOT,1.0,30000,1.1871001239406425,35438.5,7303.311772833651
TRANSLATOR_ECLIPSE_CHARCOAL__TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,1.0,30000,1.1639701202559207,34748.0,7161.205538677532
ROBOT_LAUNDRY__ROBOT_VACUUMING,ROBOT,1.0,30000,1.0843801293002377,32372.0,6672.220147866613
TRANSLATOR_GRAPHITE_MIST__TRANSLATOR_VOID_BLUE,TRANSLATOR,1.0,30000,0.8936622784979734,26678.5,5500.486847116626
ROBOT_LAUNDRY__ROBOT_MOPPING,ROBOT,1.0,30000,0.8629283489096573,25761.0,5311.663574360306
MICROCHIP_CIRCLE__MICROCHIP_RECTANGLE,MICROCHIP,1.0,30000,0.826365859377617,24669.5,5087.030765408235
PANEL_2X2__PANEL_2X4,PANEL,1.0,30000,0.7215522728034034,21540.5,4443.07651968123
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE,MICROCHIP,0.5511333333333334,16534,1.2387891694554305,20359.5,4236.700546268665
OXYGEN_SHAKE_CHOCOLATE__OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,0.6922333333333334,20767,0.9804927634445036,20256.0,4199.418791005569
TRANSLATOR_GRAPHITE_MIST__TRANSLATOR_SPACE_GRAY,TRANSLATOR,1.0,30000,0.6066559474759655,18110.5,3737.1758923742213
MICROCHIP_RECTANGLE__MICROCHIP_TRIANGLE,MICROCHIP,1.0,30000,0.535591062874753,15989.0,3300.567093297889
TRANSLATOR_ASTRO_BLACK__TRANSLATOR_VOID_BLUE,TRANSLATOR,1.0,30000,0.5301477238468496,15826.5,3267.124279321974
PANEL_1X2__PANEL_2X4,PANEL,0.8317666666666667,24953,0.6234408948257826,15495.0,3205.799623601479
PEBBLES_M__PEBBLES_S,PEBBLES,0.16166666666666665,4850,2.989893727859971,14348.5,3079.538670412423
MICROCHIP_SQUARE__MICROCHIP_TRIANGLE,MICROCHIP,0.5511333333333334,16534,0.7381198661393368,12131.0,2526.6221829179754
SLEEP_POD_NYLON__SLEEP_POD_SUEDE,SLEEP_POD,1.0,30000,0.3648544534887616,10892.0,2251.594645081031
PEBBLES_XL__PEBBLES_XS,PEBBLES,0.028733333333333333,862,9.778812572759023,8400.0,1967.3916717491352
UV_VISOR_AMBER__UV_VISOR_ORANGE,UV_VISOR,0.10213333333333334,3064,2.8846782097353807,8830.0,1926.6981090306294
MICROCHIP_CIRCLE__MICROCHIP_TRIANGLE,MICROCHIP,1.0,30000,0.2690851840686028,8033.0,1663.2069210370844
OXYGEN_SHAKE_EVENING_BREATH__OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,0.29483333333333334,8845,0.840924541128484,7422.0,1566.4354869794797
ROBOT_IRONING__ROBOT_VACUUMING,ROBOT,1.0,30000,0.23835125448028674,7115.5,1474.3836482807637
PEBBLES_M__PEBBLES_XL,PEBBLES,0.0354,1062,5.997639282341832,6351.5,1466.107116968437
ROBOT_DISHES__ROBOT_IRONING,ROBOT,1.0,30000,0.21925769604394868,6545.5,1357.0765469498615
ROBOT_DISHES__ROBOT_LAUNDRY,ROBOT,1.0,30000,0.19071785080226442,5693.5,1181.7333007499863
UV_VISOR_MAGENTA__UV_VISOR_ORANGE,UV_VISOR,0.035333333333333335,1060,3.947965941343425,4173.0,963.4897918906164
OXYGEN_SHAKE_EVENING_BREATH__OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,0.035666666666666666,1070,2.7645951035781544,2936.0,677.9889347616298
GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,0.036333333333333336,1090,2.683992640294388,2917.5,672.4757476867316
OXYGEN_SHAKE_GARLIC__OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,0.03326666666666667,998,2.8909547738693466,2876.5,666.961217873553
GALAXY_SOUNDS_PLANETARY_RINGS__GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,0.03553333333333333,1066,2.3410159924741296,2488.5,574.4886988545697
GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,0.0333,999,2.3323293172690764,2323.0,538.6508423731233
UV_VISOR_MAGENTA__UV_VISOR_RED,UV_VISOR,0.03326666666666667,998,2.2110552763819094,2200.0,510.18241902374984
PANEL_1X2__PANEL_2X2,PANEL,0.8317666666666667,24953,0.08177758107346907,2032.5,427.73567747466967
GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,0.033466666666666665,1004,1.7592407592407593,1761.0,408.2778972975685
UV_VISOR_MAGENTA__UV_VISOR_YELLOW,UV_VISOR,0.0333,999,1.5095381526104417,1503.5,348.7449139078738
SNACKPACK_RASPBERRY__SNACKPACK_STRAWBERRY,SNACKPACK,0.03323333333333333,997,1.5010050251256282,1493.5,346.4270275215653
UV_VISOR_AMBER__UV_VISOR_RED,UV_VISOR,0.03326666666666667,998,1.4723618090452262,1465.0,339.8462517589971
UV_VISOR_AMBER__UV_VISOR_YELLOW,UV_VISOR,0.043,1290,1.0583203732503887,1361.0,310.641237759951
SNACKPACK_PISTACHIO__SNACKPACK_RASPBERRY,SNACKPACK,0.03323333333333333,997,1.328643216080402,1322.0,306.6846505190332
OXYGEN_SHAKE_CHOCOLATE__OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,0.0426,1278,0.9586939417781275,1218.5,278.3984703891427
UV_VISOR_AMBER__UV_VISOR_MAGENTA,UV_VISOR,0.040933333333333335,1228,0.9387755102040817,1150.0,263.3066848241505
GALAXY_SOUNDS_BLACK_HOLES__GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,0.03473333333333333,1042,1.0625601539942253,1104.0,255.4468014378418
PEBBLES_L__PEBBLES_XL,PEBBLES,0.028566666666666667,857,1.2482435597189696,1066.0,250.02745056693024
SNACKPACK_STRAWBERRY__SNACKPACK_VANILLA,SNACKPACK,0.03323333333333333,997,0.8874371859296483,883.0,204.9534347516185
