timestamp,product,side,dmid,bid_price_1,ask_price_1,next_bid,next_ask,pnl1
57100,PEBBLES_XL,SELL,24.5,13852,13869,13748.0,13765.0,87.0
44500,PEBBLES_XL,BUY,-8.0,13566,13584,13663.0,13680.0,79.0
87600,PEBBLES_XL,BUY,-21.0,13933,13950,14017.0,14035.0,67.0
9000,PEBBLES_XL,SELL,8.0,13391,13408,13313.0,13330.0,61.0
86200,PEBBLES_XL,BUY,-29.5,13879,13896,13956.0,13974.0,60.0
31300,PEBBLES_XL,SELL,68.0,13708,13726,13633.0,13650.0,58.0
41700,PEBBLES_XL,SELL,21.0,13681,13698,13608.0,13625.0,56.0
31200,PEBBLES_XL,BUY,-35.5,13645,13653,13708.0,13726.0,55.0
6800,PEBBLES_XL,SELL,21.0,13451,13468,13380.0,13397.0,54.0
36200,PEBBLES_XL,SELL,42.0,13634,13651,13564.0,13582.0,52.0
59400,PEBBLES_XL,BUY,-10.0,13757,13775,13824.0,13841.0,49.0
37600,PEBBLES_XL,BUY,-8.5,13650,13667,13715.0,13724.0,48.0
76600,PEBBLES_XL,SELL,9.0,14045,14063,13979.0,13997.0,48.0
47600,PEBBLES_XL,SELL,8.0,13843,13861,13787.0,13796.0,47.0
96500,PEBBLES_XL,BUY,-13.0,14102,14120,14166.0,14184.0,46.0
75500,PEBBLES_XL,BUY,-10.0,13869,13887,13933.0,13951.0,46.0
56900,MICROCHIP_SQUARE,SELL,10.0,12663,12674,12607.0,12618.0,45.0
16100,PEBBLES_XL,BUY,-25.5,13465,13482,13527.0,13544.0,45.0
55100,PEBBLES_XL,BUY,-34.0,13863,13880,13924.0,13941.0,44.0
17600,PEBBLES_XL,SELL,34.0,13437,13454,13376.0,13393.0,44.0
14400,PEBBLES_XL,SELL,58.0,13586,13603,13525.0,13542.0,44.0
12800,PEBBLES_XL,SELL,10.0,13387,13404,13328.0,13345.0,42.0
89600,PEBBLES_XL,SELL,24.0,13955,13972,13895.0,13913.0,42.0
51100,MICROCHIP_SQUARE,SELL,18.5,12321,12332,12269.0,12279.0,42.0
21000,MICROCHIP_TRIANGLE,BUY,-9.5,10521,10531,10572.0,10582.0,41.0
21200,PEBBLES_XL,BUY,-65.5,13603,13621,13662.0,13680.0,41.0
71500,PEBBLES_M,BUY,-10.5,8499,8511,8552.0,8563.0,41.0
64300,PEBBLES_XL,BUY,-21.0,13999,14016,14056.0,14074.0,40.0
5300,MICROCHIP_SQUARE,BUY,-12.0,12273,12284,12324.0,12335.0,40.0
7400,PEBBLES_XL,SELL,47.0,13456,13473,13399.0,13416.0,40.0
16100,MICROCHIP_SQUARE,SELL,43.5,12332,12343,12282.0,12293.0,39.0
64900,MICROCHIP_TRIANGLE,SELL,12.0,10198,10207,10150.0,10159.0,39.0
95600,MICROCHIP_SQUARE,SELL,16.5,13079,13091,13030.0,13041.0,38.0
7900,PEBBLES_XL,BUY,-49.0,13313,13330,13368.0,13385.0,38.0
47200,PEBBLES_XL,BUY,-18.0,13753,13771,13809.0,13826.0,38.0
28300,MICROCHIP_SQUARE,BUY,-20.0,12684,12695,12732.0,12743.0,37.0
46100,PEBBLES_XL,BUY,-18.0,13731,13749,13785.0,13802.0,36.0
12100,MICROCHIP_TRIANGLE,BUY,-40.5,10441,10445,10481.0,10491.0,36.0
41700,PEBBLES_L,BUY,-14.0,10037,10050,10086.0,10099.0,36.0
39800,PEBBLES_XL,SELL,21.5,13763,13780,13709.0,13727.0,36.0
