strategy,p1,hold,day2_alpha,day2_edge,day2_trades,day3_alpha,day3_edge,day3_trades,day4_alpha,day4_edge,day4_trades,day3_10pct_alpha,day3_10pct_edge,day3_10pct_trades,alpha_score,trade_score,score
momentum,16.0,2,-0.13729864181933038,-11.238260686460308,75984,-0.059162855234081914,-11.587144765918085,77836,-0.44920486070409876,-12.30695893408354,76779,0.8932746617627741,-10.526467883882832,7613,0.2953005692769511,-11.148035478335483,0.2953005692769511
momentum,14.0,2,-0.10942955775146641,-11.171518442683759,101097,-0.04565364206464062,-11.48381090207429,103650,-0.29950884859938187,-12.043465422547689,101598,0.7451733648542159,-10.587765957446809,10152,0.2593850469312685,-11.102080363184827,0.2593850469312685
reversal,8.0,3,0.08910697512315166,-10.961467024256308,235279,0.15334534279961853,-11.101426300731164,235925,0.3273791732186253,-11.09604196719039,230847,0.28612468913472255,-10.973587170911586,23322,0.226353449677973,-11.015099186986268,0.226353449677973
reversal,8.0,1,0.12575038554841342,-10.924980563261803,235379,0.16565194365003708,-11.08924478339159,236025,0.37581133333622,-11.04759533572638,230947,0.17837930151139955,-11.082657330714712,23422,0.1949228515202529,-11.047180168511256,0.1949228515202529
reversal,8.0,2,0.08211695116199023,-10.968533414921238,235329,0.19118974467634284,-11.063638097256066,235975,0.13781469659631784,-11.285581882830872,230897,0.24830994352216326,-11.012065719664555,23372,0.18707301824208777,-11.05470115870914,0.18707301824208777
reversal,10.0,1,0.16064153832152933,-10.849829497700762,186801,0.19608773001532542,-11.038399296959565,186618,0.4601383257549642,-10.981122474104959,182757,0.1008385177170679,-11.128590749256153,18485,0.18574393550329615,-11.032679967213078,0.18574393550329615
reversal,4.0,3,0.06911456783747523,-11.087802221860457,356278,0.12008748823558894,-11.202966023823977,359134,0.1601847433362874,-11.276972981571113,352056,0.2605039669236786,-11.07841658285842,35796,0.17909490783071133,-11.134987058658844,0.17909490783071133
reversal,6.0,1,0.09612997219571752,-11.00763335282711,292401,0.1343095977763244,-11.15288451057336,293568,0.32095745974395945,-11.105046118570758,287845,0.1676757311441765,-11.13713015221481,29235,0.16968561197088172,-11.109569058962371,0.16968561197088172
reversal,6.0,2,0.07208287298487093,-11.031626366935635,292351,0.14297419579037743,-11.144178551230247,293518,0.11390051946698171,-11.312076304313834,287795,0.2294500599623094,-11.075038547198904,29185,0.16334901865813617,-11.11573977551976,0.16334901865813617
reversal,4.0,2,0.05163922004445343,-11.105315888731731,356328,0.10955248563410397,-11.213534010423627,359184,0.09265391671826098,-11.344512731961398,352106,0.2560955197232606,-11.083161301121464,35846,0.16137941251891794,-11.15286947512994,0.16137941251891794
