strategy,p1,hold,day2_alpha,day2_edge,day2_trades,day3_alpha,day3_edge,day3_trades,day4_alpha,day4_edge,day4_trades,day3_10pct_alpha,day3_10pct_edge,day3_10pct_trades,alpha_score,trade_score,score
reversal,8.0,3,0.0891069751231516,-10.961467024256308,235279,0.1533453427996185,-11.101426300731164,235925,0.3273791732186253,-11.09604196719039,230847,0.2861246891347225,-10.973587170911586,23322,0.226353449677973,-11.015099186986268,0.226353449677973
reversal,8.0,1,0.1257503855484134,-10.924980563261803,235379,0.165651943650037,-11.08924478339159,236025,0.37581133333622,-11.04759533572638,230947,0.1783793015113995,-11.082657330714712,23422,0.1949228515202529,-11.047180168511256,0.1949228515202529
reversal,8.0,2,0.0821169511619902,-10.968533414921238,235329,0.1911897446763428,-11.063638097256066,235975,0.1378146965963178,-11.285581882830872,230897,0.2483099435221632,-11.012065719664555,23372,0.1870730182420877,-11.05470115870914,0.1870730182420877
reversal,10.0,1,0.1606415383215293,-10.849829497700762,186801,0.1960877300153254,-11.038399296959565,186618,0.4601383257549642,-10.98112247410496,182757,0.1008385177170679,-11.128590749256151,18485,0.1857439355032961,-11.032679967213078,0.1857439355032961
reversal,4.0,3,0.0691145678374752,-11.087802221860455,356278,0.1200874882355889,-11.202966023823976,359134,0.1601847433362874,-11.276972981571111,352056,0.2605039669236786,-11.07841658285842,35796,0.1790949078307113,-11.134987058658844,0.1790949078307113
reversal,6.0,1,0.0961299721957175,-11.00763335282711,292401,0.1343095977763244,-11.15288451057336,293568,0.3209574597439594,-11.105046118570758,287845,0.1676757311441765,-11.13713015221481,29235,0.1696856119708817,-11.109569058962371,0.1696856119708817
reversal,6.0,2,0.0720828729848709,-11.031626366935637,292351,0.1429741957903774,-11.144178551230247,293518,0.1139005194669817,-11.312076304313834,287795,0.2294500599623094,-11.075038547198904,29185,0.1633490186581361,-11.11573977551976,0.1633490186581361
reversal,4.0,2,0.0516392200444534,-11.105315888731733,356328,0.1095524856341039,-11.213534010423627,359184,0.0926539167182609,-11.344512731961398,352106,0.2560955197232606,-11.083161301121464,35846,0.1613794125189179,-11.15286947512994,0.1613794125189179
reversal,2.0,3,0.0565354105791563,-11.148827920131865,427104,0.1082946256997,-11.247834967225344,430363,0.1401375284152062,-11.30701196218087,422749,0.2364213523796186,-11.14634829493733,42843,0.1603762450888806,-11.19124110452037,0.1603762450888806
reversal,2.0,2,0.0456111847249469,-11.159776099486368,427154,0.0864843766336053,-11.26966657605602,430413,0.1075972270511519,-11.339563244000104,422799,0.2579908143519921,-11.124915487375562,42893,0.1586545627877797,-11.193034991027496,0.1586545627877797
reversal,4.0,1,0.1007581837262681,-11.0562296213571,356378,0.0969451666601713,-11.226175696064404,359234,0.2595270277945001,-11.177659900725814,352156,0.164071205705371,-11.17542344550925,35896,0.1523017668138799,-11.162070599072337,0.1523017668138799
reversal,10.0,3,0.1152430892175189,-10.895051445894772,186701,0.1765298791537546,-11.057774584758576,186518,0.3832319593555133,-11.058048692357808,182657,0.0668479738917595,-11.160674462877346,18385,0.1459209758288735,-11.071576018279146,0.1459209758288735
reversal,6.0,3,0.0813083089007564,-11.022360511938036,292301,0.0940341025256586,-11.19308067659847,293468,0.2204590870388712,-11.205539627100384,287745,0.167032778445169,-11.137017333104511,29135,0.1433020956414397,-11.13557698166939,0.1433020956414397
reversal,10.0,2,0.087292705259945,-10.92306333031684,186751,0.2165751897431499,-11.017811200205823,186568,0.1853459363899577,-11.255885105660976,182707,0.1069433143477081,-11.121508001084893,18435,0.1366999609155813,-11.08123627244188,0.1366999609155813
reversal,2.0,1,0.0788510875366335,-11.12655546296383,427204,0.0965983139085124,-11.259573993583652,430463,0.2057803140128036,-11.241386405076044,422849,0.1301841976573597,-11.252846796916844,42943,0.1245398163367616,-11.227214910683482,0.1245398163367616
