threshold,hold,spread_max,size_scale,taker_frac,day2_pnl,day2_trades,day3_pnl,day3_trades,day4_pnl,day4_trades,day3_10pct_pnl,day3_10pct_trades,total_3days,score
8.0,1,8,0.15,0.2,-549777.7275,42478,-843776.0999999999,53476,-137447.17499999987,56927,-80522.6625,4827,-1531001.0024999997,-273937.61474999995
8.0,3,8,0.15,0.2,-546921.8099999999,42378,-907041.1049999999,53376,-294304.065,56827,-87799.58249999999,4727,-1748266.9799999997,-310529.817375
8.0,1,8,0.15,0.4,-613594.7549999999,42478,-923506.3500000001,53476,-228292.72499999992,56927,-87940.875,4827,-1765393.8299999998,-313176.55575
8.0,3,8,0.15,0.4,-610588.245,42378,-986619.06,53376,-384980.055,56827,-95071.065,4727,-1982187.36,-349617.18975
8.0,1,8,0.15,0.6,-677411.7825,42478,-1003236.6000000001,53476,-319138.2749999999,56927,-95359.0875,4827,-1999786.6575,-352415.49674999993
8.0,2,8,0.15,0.2,-584691.5399999999,42428,-879414.9450000001,53426,-765277.605,56877,-87059.93999999999,4777,-2229384.09,-382290.58050000004
8.0,3,8,0.15,0.6,-674254.6799999999,42378,-1066197.015,53376,-475656.0449999999,56827,-102342.5475,4727,-2216107.7399999998,-388704.56212499994
8.0,1,8,0.15,0.8,-741228.81,42478,-1082966.8499999999,53476,-409983.825,56927,-102777.3,4827,-2234179.485,-391654.4377499999
8.0,2,8,0.15,0.4,-648431.13,42428,-959071.59,53426,-856041.8099999999,56877,-94403.805,4777,-2463544.53,-421453.77225
8.0,3,8,0.15,0.8,-737921.115,42378,-1145774.97,53376,-566332.035,56827,-109614.03,4727,-2450028.12,-427791.9345
8.0,1,8,0.15,1.0,-805045.8375,42478,-1162697.1,53476,-500829.3749999999,56927,-110195.5125,4827,-2468572.3125,-430893.37875000003
8.0,1,8,0.25,0.2,-916296.2124999999,42478,-1406293.5,53476,-229078.62500000026,56927,-134204.4375,4827,-2551668.3375000004,-456562.69125000003
8.0,2,8,0.15,0.6,-712170.72,42428,-1038728.235,53426,-946806.0149999999,56877,-101747.67,4777,-2697704.9699999997,-460616.964
8.0,3,8,0.15,1.0,-801587.55,42378,-1225352.925,53376,-657008.0249999999,56827,-116885.5125,4727,-2683948.5,-466879.306875
8.0,2,8,0.15,0.8,-775910.3099999999,42428,-1118384.88,53426,-1037570.2199999999,56877,-109091.535,4777,-2931865.4099999997,-499780.1557499999
8.0,3,8,0.25,0.2,-911536.35,42378,-1511735.1750000003,53376,-490506.775,56827,-146332.6375,4727,-2913778.3000000003,-517549.69562500005
8.0,1,8,0.25,0.4,-1022657.9249999999,42478,-1539177.2500000002,53476,-380487.875,56927,-146568.125,4827,-2942323.0500000003,-521960.92625
8.0,2,8,0.15,1.0,-839649.9,42428,-1198041.525,53426,-1128334.425,56877,-116435.4,4777,-3166025.8499999996,-538943.3474999999
8.0,3,8,0.25,0.4,-1017647.075,42378,-1644365.0999999999,53376,-641633.425,56827,-158451.775,4727,-3303645.5999999996,-582695.31625
8.0,1,8,0.25,0.6,-1129019.6375,42478,-1672061.0,53476,-531897.1249999998,56927,-158931.8125,4827,-3332977.7625,-587359.16125
8.0,2,8,0.25,0.2,-974485.8999999999,42428,-1465691.5750000002,53426,-1275462.6749999998,56877,-145099.9,4777,-3715640.15,-637150.9675
8.0,1,8,0.35,0.2,-1282814.6975,42478,-1968810.9000000001,53476,-320710.07500000007,56927,-187886.2125,4827,-3572335.6725000003,-639187.76775
8.0,3,8,0.25,0.6,-1123757.8,42378,-1776995.0250000001,53376,-792760.075,56827,-170570.9125,4727,-3693512.9000000004,-647840.936875
8.0,1,8,0.25,0.8,-1235381.35,42478,-1804944.75,53476,-683306.3749999999,56927,-171295.5,4827,-3723632.475,-652757.3962499999
