name,category,final_pnl,max_drawdown,sharpe,trade_count,pnl_INTARIAN_PEPPER_ROOT,pnl_ASH_COATED_OSMIUM
imc_r1_round_1_day_-1,round_1,82957.0,1040.0,4.842677253675575,330,75433.0,7524.0
imc_r1_round_1_day_-2,round_1,80818.0,1120.0,4.671935548230144,252,75484.0,5334.0
imc_r1_round_1_day_0,round_1,80607.0,1292.0,4.583858402303929,313,74379.0,6228.0
imc_r2_round_2_day_-1,round_2,83852.0,1360.0,4.994224315124424,323,76461.0,7391.0
imc_r2_round_2_day_0,round_2,78823.0,1200.0,4.629600311951886,291,72660.0,6163.0
imc_r2_round_2_day_1,round_2,76679.0,1588.0,4.27431092303746,343,68287.0,8392.0
real_av_COFFEE_d0,real_world,-722.0,8001.0,-0.0005385003945546371,42,0.0,-722.0
real_av_COFFEE_d3,real_world,2455.0,8112.0,0.5734958500155213,116,0.0,2455.0
real_av_COFFEE_d8,real_world,4033.0,8006.0,0.895084416857412,47,0.0,4033.0
real_av_CORN_d11,real_world,-952.0,7977.0,-0.13361006828397767,35,0.0,-952.0
real_av_CORN_d6,real_world,5173.0,7985.0,1.1563571514562538,31,0.0,5173.0
real_av_COTTON_d1,real_world,-5258.0,8121.0,-1.0599725342781796,42,0.0,-5258.0
real_av_COTTON_d4,real_world,3003.0,8012.0,0.737891127008351,19,0.0,3003.0
real_av_COTTON_d9,real_world,8454.0,8013.0,1.8372560082127798,76,0.0,8454.0
real_av_SUGAR_d2,real_world,1404.0,8065.0,0.36710849563036424,37,0.0,1404.0
real_av_SUGAR_d7,real_world,-706.0,8002.0,0.03381488219957321,16,0.0,-706.0
real_av_WHEAT_d10,real_world,737.0,8020.0,0.2657943657878157,99,0.0,737.0
real_av_WHEAT_d5,real_world,4962.0,8019.0,1.213034960388705,44,0.0,4962.0
real_yf_ADM_d0,real_world,-527.0,8015.0,-0.026508538904519145,44,0.0,-527.0
real_yf_ADM_d13,real_world,3003.0,8012.0,0.737891127008351,19,0.0,3003.0
real_yf_ADM_d5,real_world,5003.0,7992.0,1.1469841516758985,19,0.0,5003.0
real_yf_BGS_d0,real_world,-722.0,8001.0,-0.0005385003945546371,42,0.0,-722.0
real_yf_BGS_d13,real_world,332.0,8100.0,0.12465999343678359,99,0.0,332.0
real_yf_BGS_d5,real_world,3906.0,8015.0,0.8934699022792145,17,0.0,3906.0
real_yf_MKC_d0,real_world,-812.0,8001.0,-0.03405429186248311,108,0.0,-812.0
real_yf_MKC_d13,real_world,737.0,8020.0,0.2657943657878157,99,0.0,737.0
real_yf_MKC_d5,real_world,4619.0,8026.0,1.0181936409836554,42,0.0,4619.0
real_yf_ZC_F_d0,real_world,-30.0,7872.0,0.05583102425742812,124,0.0,-30.0
real_yf_ZC_F_d13,real_world,-656.0,7938.0,-0.0016588185872612534,17,0.0,-656.0
real_yf_ZC_F_d5,real_world,-440.0,8013.0,-0.03466636966953824,42,0.0,-440.0
real_yf_ZS_F_d0,real_world,2231.0,8024.0,0.5138311049012397,53,0.0,2231.0
real_yf_ZS_F_d13,real_world,-3116.0,8100.0,-0.5023039030103668,56,0.0,-3116.0
real_yf_ZS_F_d5,real_world,6279.0,8128.0,1.3975278441499714,36,0.0,6279.0
real_yf_ZW_F_d0,real_world,-25.0,7894.0,0.05098136069497455,99,0.0,-25.0
real_yf_ZW_F_d13,real_world,5310.0,8014.0,1.3552148863347522,22,0.0,5310.0
real_yf_ZW_F_d5,real_world,1404.0,8065.0,0.36710849563036424,37,0.0,1404.0
scen_bear_normal_s0,scenario,101391.0,4248.0,4.468189006936912,3680,-58310.0,159701.0
scen_bear_volatile_s0,scenario,152637.0,7998.0,4.0071348815274135,3586,-58310.0,210947.0
scen_bull_normal_s0,scenario,374090.0,3365.0,14.634822719213068,3227,214389.0,159701.0
scen_crash_normal_s0,scenario,313441.0,4667.0,11.634227429495287,3373,153740.0,159701.0
scen_crash_volatile_s0,scenario,364687.0,7998.0,8.951911017162761,3279,153740.0,210947.0
scen_high_vol_volatile_s0,scenario,3030369.0,14882.0,43.14263039647584,4008,2819422.0,210947.0
scen_sawtooth_normal_s0,scenario,481922.0,4763.0,19.46013514810185,3247,324546.0,157376.0
scen_sawtooth_volatile_s0,scenario,544704.0,10328.0,13.84586728065499,3164,324546.0,220158.0
scen_sideways_drift_s0,scenario,484719.0,12382.0,24.524690694469513,250,498074.0,-13355.0
scen_sideways_normal_s0,scenario,663770.0,6544.0,26.89662123022947,3346,504069.0,159701.0
scen_spike_crash_volatile_s0,scenario,429191.0,9198.0,10.25274839837978,3475,218244.0,210947.0
scen_v_recovery_drift_s0,scenario,205043.0,26204.0,9.880222922538199,254,218398.0,-13355.0
scen_v_recovery_normal_s0,scenario,376911.0,6392.0,14.81782026575934,3367,217210.0,159701.0
