name,category,final_pnl,max_drawdown,sharpe,trade_count,pnl_INTARIAN_PEPPER_ROOT,pnl_ASH_COATED_OSMIUM
imc_r1_round_1_day_-1,round_1,886.0,2160.0,0.07140039893448216,36,0.0,886.0
imc_r1_round_1_day_-2,round_1,311.0,2040.0,0.02592399021447263,46,0.0,311.0
imc_r1_round_1_day_0,round_1,1116.0,2576.0,0.08480894494671239,49,0.0,1116.0
imc_r2_round_2_day_-1,round_2,1165.0,2198.0,0.09164910356930782,49,0.0,1165.0
imc_r2_round_2_day_0,round_2,1670.0,2499.0,0.12835779662473706,51,0.0,1670.0
imc_r2_round_2_day_1,round_2,-66.0,2044.0,-0.004980999155151996,37,0.0,-66.0
real_av_COFFEE_d0,real_world,0.0,0.0,0.0,0,0.0,0.0
real_av_COFFEE_d3,real_world,-23813.0,24013.0,-5.347605739381844,81,0.0,-23813.0
real_av_COFFEE_d8,real_world,-12445.0,21523.0,-2.8852480808444287,54,0.0,-12445.0
real_av_CORN_d11,real_world,-12541.0,15749.0,-3.38704525527423,32,0.0,-12541.0
real_av_CORN_d6,real_world,3854.0,4906.0,1.2257019237030358,6,0.0,3854.0
real_av_COTTON_d1,real_world,-12939.0,13339.0,-3.272654948098278,7,0.0,-12939.0
real_av_COTTON_d4,real_world,-3008.0,6368.0,-1.6178147669622578,6,0.0,-3008.0
real_av_COTTON_d9,real_world,-26787.0,26787.0,-5.871056622714692,27,0.0,-26787.0
real_av_SUGAR_d2,real_world,9313.0,6080.0,2.039510991215271,6,0.0,9313.0
real_av_SUGAR_d7,real_world,-2054.0,2054.0,-3.511177461133587,2,0.0,-2054.0
real_av_WHEAT_d10,real_world,-28764.0,31248.0,-7.166572053960115,32,0.0,-28764.0
real_av_WHEAT_d5,real_world,-5610.0,8490.0,-1.779859510955674,9,0.0,-5610.0
real_yf_ADM_d0,real_world,0.0,0.0,0.0,0,0.0,0.0
real_yf_ADM_d13,real_world,-3008.0,6368.0,-1.6178147669622578,6,0.0,-3008.0
real_yf_ADM_d5,real_world,-4768.0,5808.0,-2.4162137510763584,5,0.0,-4768.0
real_yf_BGS_d0,real_world,0.0,0.0,0.0,0,0.0,0.0
real_yf_BGS_d13,real_world,-25543.0,27823.0,-6.340564283817046,51,0.0,-25543.0
real_yf_BGS_d5,real_world,-4147.0,4707.0,-2.3824277535983813,6,0.0,-4147.0
real_yf_MKC_d0,real_world,-11614.0,23823.0,-2.5363106856949904,59,0.0,-11614.0
real_yf_MKC_d13,real_world,-28764.0,31248.0,-7.166572053960115,32,0.0,-28764.0
real_yf_MKC_d5,real_world,-13250.0,18850.0,-2.8421029970508163,29,0.0,-13250.0
real_yf_ZC_F_d0,real_world,-51034.0,51034.0,-11.120547571843039,159,0.0,-51034.0
real_yf_ZC_F_d13,real_world,2259.0,171.0,3.4137593568636424,3,0.0,2259.0
real_yf_ZC_F_d5,real_world,8920.0,6840.0,2.052004670343269,8,0.0,8920.0
real_yf_ZS_F_d0,real_world,-18345.0,19416.0,-5.3513445052510935,26,0.0,-18345.0
real_yf_ZS_F_d13,real_world,1312.0,6240.0,0.5354024053428277,10,0.0,1312.0
real_yf_ZS_F_d5,real_world,-11733.0,17013.0,-3.029744776218275,20,0.0,-11733.0
real_yf_ZW_F_d0,real_world,-51983.0,51983.0,-11.48130347276958,132,0.0,-51983.0
real_yf_ZW_F_d13,real_world,-5633.0,5633.0,-8.045077558745188,5,0.0,-5633.0
real_yf_ZW_F_d5,real_world,9313.0,6080.0,2.039510991215271,6,0.0,9313.0
scen_bear_normal_s0,scenario,112427.0,3160.0,6.321381647264441,1979,0.0,112427.0
scen_bear_volatile_s0,scenario,137369.0,10368.0,4.211968721047548,2196,0.0,137369.0
scen_bull_normal_s0,scenario,112427.0,3160.0,6.321381647264441,1979,0.0,112427.0
scen_crash_normal_s0,scenario,112427.0,3160.0,6.321381647264441,1979,0.0,112427.0
scen_crash_volatile_s0,scenario,137369.0,10368.0,4.211968721047548,2196,0.0,137369.0
scen_high_vol_volatile_s0,scenario,137369.0,10368.0,4.211968721047548,2196,0.0,137369.0
scen_sawtooth_normal_s0,scenario,104072.0,3025.0,5.766524761968488,1932,0.0,104072.0
scen_sawtooth_volatile_s0,scenario,120102.0,13632.0,3.6769697941544175,2176,0.0,120102.0
scen_sideways_drift_s0,scenario,-33908.0,38870.0,-2.3690223169699265,1114,0.0,-33908.0
scen_sideways_normal_s0,scenario,112427.0,3160.0,6.321381647264441,1979,0.0,112427.0
scen_spike_crash_volatile_s0,scenario,137369.0,10368.0,4.211968721047548,2196,0.0,137369.0
scen_v_recovery_drift_s0,scenario,-33908.0,38870.0,-2.3690223169699265,1114,0.0,-33908.0
scen_v_recovery_normal_s0,scenario,112427.0,3160.0,6.321381647264441,1979,0.0,112427.0
